       t                  x1                  x2
  0.0000       -0.9885004265        0.1915965615
  0.5000       -0.9866585422        0.1943414209
  1.0000       -0.9847827845        0.1970862672
  1.5000       -0.9828731588        0.1998310668
  2.0000       -0.9809296737        0.2025757649
  2.5000       -0.9789523413        0.2053202865
  3.0000       -0.9769411767        0.2080645390
  3.5000       -0.9748961980        0.2108084148
  4.0000       -0.9728174256        0.2135517944
  4.5000       -0.9707048815        0.2162945499
  5.0000       -0.9685585894        0.2190365485
  5.5000       -0.9663785734        0.2217776568
  6.0000       -0.9641648579        0.2245177435
  6.5000       -0.9619174667        0.2272566841
  7.0000       -0.9596364224        0.2299943630
  7.5000       -0.9573217459        0.2327306769
  8.0000       -0.9549734561        0.2354655372
  8.5000       -0.9525915689        0.2381988712
  9.0000       -0.9501760977        0.2409306238
  9.5000       -0.9477270523        0.2436607578
 10.0000       -0.9452552500        0.2463774517
 10.5000       -0.9427524034        0.2490901178
 11.0000       -0.9402157898        0.2518017692
 11.5000       -0.9376454093        0.2545124049
 12.0000       -0.9350412624        0.2572220229
 12.5000       -0.9324033498        0.2599306201
 13.0000       -0.9297316724        0.2626381917
 13.5000       -0.9270262317        0.2653447312
 14.0000       -0.9242870295        0.2680502304
 14.5000       -0.9215140682        0.2707546788
 15.0000       -0.9187073507        0.2734580641
 15.5000       -0.9158668803        0.2761603719
 16.0000       -0.9129926609        0.2788615857
 16.5000       -0.9100846969        0.2815616873
 17.0000       -0.9071429932        0.2842606567
 17.5000       -0.9041675552        0.2869584725
 18.0000       -0.9011583886        0.2896551119
 18.5000       -0.8981154997        0.2923505510
 19.0000       -0.8950388949        0.2950447655
 19.5000       -0.8919285808        0.2977377302
 20.0000       -0.8887845645        0.3004294199
 20.5000       -0.8856068530        0.3031198095
 21.0000       -0.8823954534        0.3058088740
 21.5000       -0.8791503728        0.3084965891
 22.0000       -0.8758716183        0.3111829310
 22.5000       -0.8725591969        0.3138678769
 23.0000       -0.8692131155        0.3165514050
 23.5000       -0.8658333806        0.3192334942
 24.0000       -0.8624199988        0.3219141249
 24.5000       -0.8589729763        0.3245932784
 25.0000       -0.8554923191        0.3272709369
 25.5000       -0.8519780330        0.3299470840
 26.0000       -0.8484301235        0.3326217038
 26.5000       -0.8448485961        0.3352947813
 27.0000       -0.8412334558        0.3379663023
 27.5000       -0.8375847076        0.3406362530
 28.0000       -0.8339023565        0.3433046200
 28.5000       -0.8301864072        0.3459713901
 29.0000       -0.8264368644        0.3486365504
 29.5000       -0.8226537327        0.3513000877
 30.0000       -0.8188370169        0.3539619888
 30.5000       -0.8149867216        0.3566222401
 31.0000       -0.8111028517        0.3592808279
 31.5000       -0.8071854121        0.3619377379
 32.0000       -0.8032344076        0.3645929554
 32.5000       -0.7992498435        0.3672464653
 33.0000       -0.7952317251        0.3698982520
 33.5000       -0.7911800578        0.3725482993
 34.0000       -0.7870948472        0.3751965907
 34.5000       -0.7829760992        0.3778431093
 35.0000       -0.7788238197        0.3804878379
 35.5000       -0.7746380151        0.3831307587
 36.0000       -0.7704186915        0.3857718540
 36.5000       -0.7661658557        0.3884111057
 37.0000       -0.7618795143        0.3910484956
 37.5000       -0.7575596743        0.3936840055
 38.0000       -0.7532063429        0.3963176169
 38.5000       -0.7488195274        0.3989493114
 39.0000       -0.7443992354        0.4015790705
 39.5000       -0.7399454747        0.4042068758
 40.0000       -0.7354582533        0.4068327085
 40.5000       -0.7309375796        0.4094565500
 41.0000       -0.7263834622        0.4120783813
 41.5000       -0.7217959101        0.4146981834
 42.0000       -0.7171749324        0.4173159369
 42.5000       -0.7125205389        0.4199316220
 43.0000       -0.7078327398        0.4225452187
 43.5000       -0.7031115455        0.4251567062
 44.0000       -0.6983569670        0.4277660632
 44.5000       -0.6935690160        0.4303732678
 45.0000       -0.6887477045        0.4329782973
 45.5000       -0.6838930452        0.4355811282
 46.0000       -0.6790050513        0.4381817360
 46.5000       -0.6740837369        0.4407800955
 47.0000       -0.6691291164        0.4433761803
 47.5000       -0.6641412050        0.4459699634
 48.0000       -0.6591200186        0.4485614164
 48.5000       -0.6540655736        0.4511505103
 49.0000       -0.6489778871        0.4537372150
 49.5000       -0.6438569768        0.4563214996
 50.0000       -0.6387028611        0.4589033322
 50.5000       -0.6335155589        0.4614826805
 51.0000       -0.6282950896        0.4640595111
 51.5000       -0.6230414731        0.4666337904
 52.0000       -0.6177547299        0.4692054841
 52.5000       -0.6124348808        0.4717745576
 53.0000       -0.6070819471        0.4743409759
 53.5000       -0.6016959501        0.4769047039
 54.0000       -0.5962769119        0.4794657066
 54.5000       -0.5908248545        0.4820239485
 55.0000       -0.5853398002        0.4845793948
 55.5000       -0.5798217716        0.4871320105
 56.0000       -0.5742707913        0.4896817609
 56.5000       -0.5686868821        0.4922286117
 57.0000       -0.5630700669        0.4947725289
 57.5000       -0.5574203688        0.4973134788
 58.0000       -0.5517378108        0.4998514284
 58.5000       -0.5460224161        0.5023863447
 59.0000       -0.5402742081        0.5049181954
 59.5000       -0.5344932102        0.5074469484
 60.0000       -0.5286794460        0.5099725720
 60.5000       -0.5228329394        0.5124950350
 61.0000       -0.5169537144        0.5150143060
 61.5000       -0.5110417954        0.5175303541
 62.0000       -0.5050972070        0.5200431484
 62.5000       -0.4991199744        0.5225526582
 63.0000       -0.4931101232        0.5250588523
 63.5000       -0.4870676795        0.5275616998
 64.0000       -0.4809926700        0.5300611693
 64.5000       -0.4748851222        0.5325572292
 65.0000       -0.4687450645        0.5350498473
 65.5000       -0.4625725260        0.5375389910
 66.0000       -0.4563675367        0.5400246271
 66.5000       -0.4501301278        0.5425067217
 67.0000       -0.4438603317        0.5449852402
 67.5000       -0.4375581817        0.5474601472
 68.0000       -0.4312237128        0.5499314062
 68.5000       -0.4248588980        0.5523982060
 69.0000       -0.4184632397        0.5548606316
 69.5000       -0.4120354796        0.5573191598
 70.0000       -0.4055756186        0.5597737897
 70.5000       -0.3990836586        0.5622245193
 71.0000       -0.3925596028        0.5646713448
 71.5000       -0.3860034560        0.5671142610
 72.0000       -0.3794152254        0.5695532602
 72.5000       -0.3727949204        0.5719883325
 73.0000       -0.3661425530        0.5744194652
 73.5000       -0.3594581385        0.5768466426
 74.0000       -0.3527416955        0.5792698463
 74.5000       -0.3459932462        0.5816890542
 75.0000       -0.3392128166        0.5841042414
 75.5000       -0.3324004369        0.5865153792
 76.0000       -0.3255561415        0.5889224359
 76.5000       -0.3186799693        0.5913253763
 77.0000       -0.3117719639        0.5937241619
 77.5000       -0.3048321735        0.5961187509
 78.0000       -0.2978606514        0.5985090985
 78.5000       -0.2908574557        0.6008951568
 79.0000       -0.2838226498        0.6032768753
 79.5000       -0.2767563019        0.6056542005
 80.0000       -0.2696584856        0.6080270767
 80.5000       -0.2625292795        0.6103954458
 81.0000       -0.2553687678        0.6127592475
 81.5000       -0.2481770395        0.6151184199
 82.0000       -0.2409541891        0.6174728993
 82.5000       -0.2337003164        0.6198226206
 83.0000       -0.2264155261        0.6221675174
 83.5000       -0.2190999286        0.6245075225
 84.0000       -0.2117536393        0.6268425677
 84.5000       -0.2043767788        0.6291725844
 85.0000       -0.1969694731        0.6314975034
 85.5000       -0.1895318534        0.6338172557
 86.0000       -0.1820640562        0.6361317718
 86.5000       -0.1745662233        0.6384409827
 87.0000       -0.1670385018        0.6407448195
 87.5000       -0.1594810443        0.6430432141
 88.0000       -0.1518940088        0.6453360985
 88.5000       -0.1442775589        0.6476234060
 89.0000       -0.1366318635        0.6499050703
 89.5000       -0.1289570976        0.6521810264
 90.0000       -0.1212534417        0.6544512102
 90.5000       -0.1135210823        0.6567155590
 91.0000       -0.1057602120        0.6589740111
 91.5000       -0.0979710295        0.6612265066
 92.0000       -0.0901537399        0.6634729867
 92.5000       -0.0823085546        0.6657133944
 93.0000       -0.0744356919        0.6679476743
 93.5000       -0.0665353767        0.6701757728
 94.0000       -0.0586078410        0.6723976380
 94.5000       -0.0506533241        0.6746132202
 95.0000       -0.0426720726        0.6768224715
 95.5000       -0.0346643407        0.6790253464
 96.0000       -0.0266303903        0.6812218012
 96.5000       -0.0185704916        0.6834117952
 97.0000       -0.0104849227        0.6855952896
 97.5000       -0.0023739703        0.6877722487
 98.0000        0.0057620704        0.6899426392
 98.5000        0.0139228952        0.6921064308
 99.0000        0.0221081910        0.6942635964
 99.5000        0.0303176356        0.6964141119
100.0000        0.0385508972        0.6985579568
100.5000        0.0468076347        0.7006951141
101.0000        0.0550874971        0.7028255703
101.5000        0.0633901236        0.7049493162
102.0000        0.0717151435        0.7070663467
102.5000        0.0800621760        0.7091766607
103.0000        0.0884308301        0.7112802622
103.5000        0.0968207046        0.7133771595
104.0000        0.1052313879        0.7154673662
104.5000        0.1136624583        0.7175509011
105.0000        0.1221134835        0.7196277883
105.5000        0.1305840213        0.7216980577
106.0000        0.1390736189        0.7237617451
106.5000        0.1475818136        0.7258188924
107.0000        0.1561081327        0.7278695478
107.5000        0.1646520936        0.7299137659
108.0000        0.1732132040        0.7319516084
108.5000        0.1817909624        0.7339831435
109.0000        0.1903848581        0.7360084467
109.5000        0.1989943715        0.7380276007
110.0000        0.2076189749        0.7400406954
110.5000        0.2162581322        0.7420478284
111.0000        0.2249113001        0.7440491047
111.5000        0.2335779281        0.7460446369
112.0000        0.2422574593        0.7480345454
112.5000        0.2509493311        0.7500189582
113.0000        0.2596529755        0.7519980106
113.5000        0.2683678203        0.7539718458
114.0000        0.2770932896        0.7559406144
114.5000        0.2858288045        0.7579044739
115.0000        0.2945737843        0.7598635893
115.5000        0.3033276473        0.7618181321
116.0000        0.3120898119        0.7637682804
116.5000        0.3208596972        0.7657142185
117.0000        0.3296367249        0.7676561364
117.5000        0.3384203195        0.7695942295
118.0000        0.3472099103        0.7715286978
118.5000        0.3560049320        0.7734597458
119.0000        0.3648048263        0.7753875814
119.5000        0.3736090432        0.7773124154
120.0000        0.3824170420        0.7792344610
120.5000        0.3912282932        0.7811539326
121.0000        0.4000422790        0.7830710455
121.5000        0.4088584956        0.7849860143
122.0000        0.4176764537        0.7868990528
122.5000        0.4264956806        0.7888103724
123.0000        0.4353157208        0.7907201812
123.5000        0.4441361379        0.7926286835
124.0000        0.4529565154        0.7945360780
124.5000        0.4617764582        0.7964425572
125.0000        0.4705955936        0.7983483063
