       t                  x1                  x2
  0.0000       -1.3633760565       -0.2231848029
  0.5000       -1.3601366097       -0.2216468537
  1.0000       -1.3568632903       -0.2201088849
  1.5000       -1.3535561048       -0.2185708473
  2.0000       -1.3502150640       -0.2170326621
  2.5000       -1.3468401817       -0.2154942257
  3.0000       -1.3434314745       -0.2139554150
  3.5000       -1.3399889606       -0.2124160942
  4.0000       -1.3365126590       -0.2108761223
  4.5000       -1.3330025884       -0.2093353598
  5.0000       -1.3294587664       -0.2077936763
  5.5000       -1.3258812087       -0.2062509567
  6.0000       -1.3222699283       -0.2047071065
  6.5000       -1.3186249351       -0.2031620564
  7.0000       -1.3149462354       -0.2016157649
  7.5000       -1.3112338319       -0.2000682197
  8.0000       -1.3074877235       -0.1985194373
  8.5000       -1.3037079057       -0.1969694619
  9.0000       -1.2998943709       -0.1954183617
  9.5000       -1.2960471087       -0.1938662254
 10.0000       -1.2921661069       -0.1923131570
 10.5000       -1.2882513515       -0.1907592704
 11.0000       -1.2843028281       -0.1892046836
 11.5000       -1.2803205221       -0.1876495134
 12.0000       -1.2763044196       -0.1860938697
 12.5000       -1.2722545077       -0.1845378511
 13.0000       -1.2681707751       -0.1829815412
 13.5000       -1.2640532125       -0.1814250055
 14.0000       -1.2599018127       -0.1798682899
 14.5000       -1.2557165711       -0.1783114199
 15.0000       -1.2515049229       -0.1767570919
 15.5000       -1.2472668713       -0.1752049784
 16.0000       -1.2429949798       -0.1736522807
 16.5000       -1.2386892484       -0.1720989989
 17.0000       -1.2343496769       -0.1705451338
 17.5000       -1.2299762653       -0.1689906865
 18.0000       -1.2255690133       -0.1674356587
 18.5000       -1.2211279207       -0.1658800526
 19.0000       -1.2166529872       -0.1643238713
 19.5000       -1.2121442123       -0.1627671183
 20.0000       -1.2076015957       -0.1612097980
 20.5000       -1.2030251367       -0.1596519152
 21.0000       -1.1984148348       -0.1580934753
 21.5000       -1.1937706893       -0.1565344841
 22.0000       -1.1890926995       -0.1549749477
 22.5000       -1.1843808649       -0.1534148725
 23.0000       -1.1796351846       -0.1518542650
 23.5000       -1.1748556579       -0.1502931314
 24.0000       -1.1700422843       -0.1487314781
 24.5000       -1.1651950630       -0.1471693111
 25.0000       -1.1603139934       -0.1456066360
 25.5000       -1.1553990749       -0.1440434582
 26.0000       -1.1504503071       -0.1424797826
 26.5000       -1.1454676893       -0.1409156134
 27.0000       -1.1404512211       -0.1393509548
 27.5000       -1.1354009023       -0.1377858102
 28.0000       -1.1303167323       -0.1362201827
 28.5000       -1.1251987110       -0.1346540750
 29.0000       -1.1200468380       -0.1330874897
 29.5000       -1.1148611130       -0.1315204290
 30.0000       -1.1096415359       -0.1299528949
 30.5000       -1.1043881065       -0.1283848896
 31.0000       -1.0991008245       -0.1268164150
 31.5000       -1.0937796897       -0.1252474733
 32.0000       -1.0884247020       -0.1236780667
 32.5000       -1.0830358611       -0.1221081976
 33.0000       -1.0776131667       -0.1205378688
 33.5000       -1.0721566188       -0.1189670830
 34.0000       -1.0666662169       -0.1173958434
 34.5000       -1.0611419609       -0.1158241535
 35.0000       -1.0555838503       -0.1142520168
 35.5000       -1.0499918850       -0.1126794372
 36.0000       -1.0443660646       -0.1111064188
 36.5000       -1.0387063887       -0.1095329659
 37.0000       -1.0330128571       -0.1079590827
 37.5000       -1.0272854693       -0.1063847738
 38.0000       -1.0215242249       -0.1048100437
 38.5000       -1.0157291237       -0.1032348968
 39.0000       -1.0099001653       -0.1016593378
 39.5000       -1.0040373492       -0.1000833712
 40.0000       -0.9981406751       -0.0985070015
 40.5000       -0.9922101427       -0.0969302332
 41.0000       -0.9862457515       -0.0953530706
 41.5000       -0.9802475011       -0.0937755182
 42.0000       -0.9742153913       -0.0921975804
 42.5000       -0.9681494217       -0.0906192616
 43.0000       -0.9620495918       -0.0890405661
 43.5000       -0.9559159013       -0.0874614985
 44.0000       -0.9497483499       -0.0858820633
 44.5000       -0.9435469370       -0.0843022651
 45.0000       -0.9373116625       -0.0827221087
 45.5000       -0.9310425258       -0.0811415990
 46.0000       -0.9247395266       -0.0795607411
 46.5000       -0.9184026646       -0.0779795401
 47.0000       -0.9120319392       -0.0763980015
 47.5000       -0.9056273502       -0.0748161307
 48.0000       -0.8991888970       -0.0732339334
 48.5000       -0.8927165794       -0.0716514155
 49.0000       -0.8862103970       -0.0700685829
 49.5000       -0.8796703493       -0.0684854416
 50.0000       -0.8730964360       -0.0669019977
 50.5000       -0.8664886566       -0.0653182572
 51.0000       -0.8598470109       -0.0637342264
 51.5000       -0.8531714985       -0.0621499111
 52.0000       -0.8464621191       -0.0605653175
 52.5000       -0.8397188722       -0.0589804514
 53.0000       -0.8329417577       -0.0573953186
 53.5000       -0.8261307752       -0.0558099247
 54.0000       -0.8192859244       -0.0542242752
 54.5000       -0.8124072050       -0.0526383754
 55.0000       -0.8054946169       -0.0510522305
 55.5000       -0.7985481597       -0.0494658454
 56.0000       -0.7915678332       -0.0478792250
 56.5000       -0.7845536372       -0.0462923739
 57.0000       -0.7775055715       -0.0447052966
 57.5000       -0.7704236359       -0.0431179976
 58.0000       -0.7633078302       -0.0415304814
 58.5000       -0.7561581542       -0.0399427522
 59.0000       -0.7489746077       -0.0383548145
 59.5000       -0.7417571905       -0.0367666726
 60.0000       -0.7345059024       -0.0351783311
 60.5000       -0.7272207434       -0.0335897944
 61.0000       -0.7199017131       -0.0320010675
 61.5000       -0.7125488114       -0.0304121551
 62.0000       -0.7051620381       -0.0288230626
 62.5000       -0.6977413931       -0.0272337952
 63.0000       -0.6902868762       -0.0256443588
 63.5000       -0.6827984871       -0.0240547592
 64.0000       -0.6752762257       -0.0224650027
 64.5000       -0.6677200919       -0.0208750960
 65.0000       -0.6601300854       -0.0192850460
 65.5000       -0.6525062060       -0.0176948599
 66.0000       -0.6448484537       -0.0161045453
 66.5000       -0.6371568282       -0.0145141101
 67.0000       -0.6294313295       -0.0129235625
 67.5000       -0.6216719573       -0.0113329110
 68.0000       -0.6138787115       -0.0097421642
 68.5000       -0.6060515920       -0.0081513313
 69.0000       -0.5981905988       -0.0065604215
 69.5000       -0.5902957316       -0.0049694442
 70.0000       -0.5823669905       -0.0033784090
 70.5000       -0.5744043755       -0.0017873258
 71.0000       -0.5664078863       -0.0001962045
 71.5000       -0.5583775232        0.0013949448
 72.0000       -0.5503132860        0.0029861120
 72.5000       -0.5422151748        0.0045772866
 73.0000       -0.5340831896        0.0061684585
 73.5000       -0.5259173305        0.0077596171
 74.0000       -0.5177175977        0.0093507520
 74.5000       -0.5094839913        0.0109418527
 75.0000       -0.5012165113        0.0125329086
 75.5000       -0.4929151581        0.0141239091
 76.0000       -0.4845799318        0.0157148435
 76.5000       -0.4762108326        0.0173057012
 77.0000       -0.4678078609        0.0188964714
 77.5000       -0.4593710169        0.0204871432
 78.0000       -0.4509003010        0.0220777060
 78.5000       -0.4423957136        0.0236681486
 79.0000       -0.4338572552        0.0252584601
 79.5000       -0.4252849260        0.0268486294
 80.0000       -0.4166787268        0.0284386451
 80.5000       -0.4080386580        0.0300284960
 81.0000       -0.3993647202        0.0316181705
 81.5000       -0.3906569141        0.0332076569
 82.0000       -0.3819152405        0.0347969434
 82.5000       -0.3731396999        0.0363860180
 83.0000       -0.3643302934        0.0379748685
 83.5000       -0.3554870218        0.0395634823
 84.0000       -0.3466098860        0.0411518469
 84.5000       -0.3376988872        0.0427399494
 85.0000       -0.3287540264        0.0443277766
 85.5000       -0.3197753049        0.0459153151
 86.0000       -0.3107627240        0.0475025513
 86.5000       -0.3017162851        0.0490894712
 87.0000       -0.2926359896        0.0506760607
 87.5000       -0.2835218393        0.0522623053
 88.0000       -0.2743738358        0.0538481903
 88.5000       -0.2651919811        0.0554337007
 89.0000       -0.2559762772        0.0570188211
 89.5000       -0.2467267261        0.0586035361
 90.0000       -0.2374433303        0.0601878297
 90.5000       -0.2281260921        0.0617716858
 91.0000       -0.2187750142        0.0633550882
 91.5000       -0.2093900994        0.0649380201
 92.0000       -0.1999713507        0.0665204648
 92.5000       -0.1905187714        0.0681024051
 93.0000       -0.1810323648        0.0696838238
 93.5000       -0.1715121347        0.0712647033
 94.0000       -0.1619580848        0.0728450259
 94.5000       -0.1523702195        0.0744247737
 95.0000       -0.1427485430        0.0760039287
 95.5000       -0.1330930601        0.0775824728
 96.0000       -0.1234037759        0.0791603876
 96.5000       -0.1136806957        0.0807376548
 97.0000       -0.1039238252        0.0823142561
 97.5000       -0.0941331704        0.0838901728
 98.0000       -0.0843087378        0.0854653867
 98.5000       -0.0744505341        0.0870398793
 99.0000       -0.0645585668        0.0886136323
 99.5000       -0.0546328434        0.0901866275
100.0000       -0.0446733722        0.0917588469
100.5000       -0.0346801619        0.0933302726
101.0000       -0.0246532216        0.0949008872
101.5000       -0.0145925613        0.0964706734
102.0000       -0.0044981913        0.0980396144
102.5000        0.0056298774        0.0996076939
103.0000        0.0157916332        0.1011748959
103.5000        0.0259870637        0.1027412052
104.0000        0.0362161557        0.1043066072
104.5000        0.0464788955        0.1058710882
105.0000        0.0567752684        0.1074346351
105.5000        0.0671052588        0.1089972360
106.0000        0.0774688504        0.1105588799
106.5000        0.0878660260        0.1121195570
107.0000        0.0982967670        0.1136792588
107.5000        0.1087610544        0.1152379782
108.0000        0.1191918594        0.1167851912
108.5000        0.1296359354        0.1183272893
109.0000        0.1400932683        0.1198642671
109.5000        0.1505638430        0.1213961209
110.0000        0.1610476436        0.1229228481
110.5000        0.1715446528        0.1244444478
111.0000        0.1820548522        0.1259609209
111.5000        0.1925782216        0.1274722708
112.0000        0.2031147397        0.1289785030
112.5000        0.2136643829        0.1304796262
113.0000        0.2242271262        0.1319756518
113.5000        0.2348029422        0.1334665953
114.0000        0.2453918015        0.1349524757
114.5000        0.2559936722        0.1364333166
115.0000        0.2666085200        0.1379091465
115.5000        0.2772363079        0.1393799989
116.0000        0.2878769961        0.1408459134
116.5000        0.2985305419        0.1423069356
117.0000        0.3091968992        0.1437631181
117.5000        0.3198760189        0.1452145206
118.0000        0.3305678484        0.1466612107
118.5000        0.3412723317        0.1481032644
119.0000        0.3519894088        0.1495407663
119.5000        0.3627190163        0.1509738107
120.0000        0.3734610866        0.1524025015
120.5000        0.3842155483        0.1538269530
121.0000        0.3949823259        0.1552472906
121.5000        0.4057613397        0.1566636504
122.0000        0.4165525060        0.1580761806
122.5000        0.4273557366        0.1594850412
123.0000        0.4381709393        0.1608904044
123.5000        0.4489980178        0.1622924551
124.0000        0.4598368714        0.1636913904
124.5000        0.4706873956        0.1650874208
125.0000        0.4815494819        0.1664807688
125.5000        0.4924230177        0.1678716702
126.0000        0.5033078872        0.1692603725
126.5000        0.5142039708        0.1706471358
127.0000        0.5251111459        0.1720322315
127.5000        0.5360292870        0.1734159421
128.0000        0.5469582660        0.1747985602
128.5000        0.5578979524        0.1761803880
129.0000        0.5688482143        0.1775617357
129.5000        0.5798089181        0.1789429208
130.0000        0.5907799296        0.1803242664
130.5000        0.6017611141        0.1817060999
131.0000        0.6127523372        0.1830887510
131.5000        0.6237534655        0.1844725502
132.0000        0.6347643670        0.1858578262
132.5000        0.6457849117        0.1872449045
133.0000        0.6568149729        0.1886341043
133.5000        0.6678544272        0.1900257365
134.0000        0.6789031557        0.1914201012
134.5000        0.6899610444        0.1928174847
135.0000        0.7010279855        0.1942181570
135.5000        0.7121038774        0.1956223691
136.0000        0.7231886262        0.1970303503
136.5000        0.7342821458        0.1984423051
137.0000        0.7453843590        0.1998584111
137.5000        0.7564951977        0.2012788161
138.0000        0.7676146040        0.2027036359
138.5000        0.7787425302        0.2041329521
139.0000        0.7898789396        0.2055668101
139.5000        0.8010238066        0.2070052178
140.0000        0.8121771170        0.2084481439
140.5000        0.8233388682        0.2098955175
141.0000        0.8345090692        0.2113472275
141.5000        0.8456877402        0.2128031227
142.0000        0.8568749126        0.2142630127
142.5000        0.8680706286        0.2157266688
143.0000        0.8792749403        0.2171938260
143.5000        0.8904879095        0.2186641856
144.0000        0.9017096062        0.2201374180
144.5000        0.9129401080        0.2216131666
145.0000        0.9241794989        0.2230910523
145.5000        0.9354278677        0.2245706779
146.0000        0.9466853071        0.2260516345
146.5000        0.9579519114        0.2275335063
147.0000        0.9692277756        0.2290158783
147.5000        0.9805129934        0.2304983418
148.0000        0.9918076556        0.2319805023
148.5000        1.0031118481        0.2334619863
149.0000        1.0144256506        0.2349424481
149.5000        1.0257491347        0.2364215771
150.0000        1.0370823625        0.2378991042
150.5000        1.0484253851        0.2393748077
151.0000        1.0597782414        0.2408485193
151.5000        1.0711409574        0.2423201283
152.0000        1.0825135447        0.2437895853
152.5000        1.0938960008        0.2452569049
153.0000        1.1052883086        0.2467221669
153.5000        1.1166904364        0.2481855164
154.0000        1.1281023385        0.2496471616
154.5000        1.1395239562        0.2511073713
155.0000        1.1509552187        0.2525664699
155.5000        1.1623960451        0.2540248311
156.0000        1.1738463458        0.2554828697
156.5000        1.1873567330        0.2572011031
157.0000        1.2009007616        0.2589208057
157.5000        1.2144784400        0.2606419702
158.0000        1.2280897727        0.2623645734
158.5000        1.2417347579        0.2640886134
159.0000        1.2554133957        0.2658140896
159.5000        1.2691256865        0.2675410011
160.0000        1.2828716308        0.2692693463
160.5000        1.2966512292        0.2709991227
161.0000        1.3104644828        0.2727303266
161.5000        1.3243113931        0.2744629532
162.0000        1.3381919617        0.2761969966
162.5000        1.3521061909        0.2779324490
163.0000        1.3660541516        0.2796692985
163.5000        1.3800358669        0.2814074743
164.0000        1.3940512760        0.2831469571
164.5000        1.4081003790        0.2848877465
165.0000        1.4221831763        0.2866298415
165.5000        1.4362996681        0.2883732407
166.0000        1.4504498551        0.2901179416
166.5000        1.4646337383        0.2918639409
167.0000        1.4788513189        0.2936112340
167.5000        1.4931025983        0.2953598151
168.0000        1.5073875786        0.2971096770
168.5000        1.5217062619        0.2988608110
169.0000        1.5360586509        0.3006132073
169.5000        1.5504447485        0.3023668542
170.0000        1.5648645581        0.3041217392
170.5000        1.5793180834        0.3058778482
171.0000        1.5938053282        0.3076351662
171.5000        1.6083262965        0.3093936775
172.0000        1.6228809927        0.3111533656
172.5000        1.6374694211        0.3129142136
173.0000        1.6520915861        0.3146762049
173.5000        1.6667474919        0.3164393229
174.0000        1.6814371426        0.3182035516
174.5000        1.6961605423        0.3199688758
175.0000        1.7109176945        0.3217352818
175.5000        1.7257086026        0.3235027568
176.0000        1.7405332694        0.3252712899
176.5000        1.7553917703        0.3270409017
177.0000        1.7702840383        0.3288116233
177.5000        1.7852100537        0.3305834534
178.0000        1.8001698166        0.3323563913
178.5000        1.8151633272        0.3341304361
179.0000        1.8301905860        0.3359055857
179.5000        1.8452515937        0.3376818373
180.0000        1.8603463510        0.3394591872
180.5000        1.8754748592        0.3412376304
181.0000        1.8906371195        0.3430171609
181.5000        1.9058331336        0.3447977716
182.0000        1.9210629033        0.3465794544
182.5000        1.9363264306        0.3483622003
183.0000        1.9516237176        0.3501459997
183.5000        1.9669547667        0.3519308425
184.0000        1.9823195800        0.3537167187
184.5000        1.9977181600        0.3555036179
185.0000        2.0131505087        0.3572915305
185.5000        2.0286166282        0.3590804475
186.0000        2.0441165204        0.3608703607
186.5000        2.0596501869        0.3626612630
187.0000        2.0752176289        0.3644531487
187.5000        2.0908188477        0.3662460134
188.0000        2.1064538437        0.3680398539
188.5000        2.1221226231        0.3698346722
189.0000        2.1378251822        0.3716304845
189.5000        2.1535615142        0.3734272929
190.0000        2.1693316192        0.3752250968
190.5000        2.1851354974        0.3770238953
191.0000        2.2009731493        0.3788236865
191.5000        2.2168445752        0.3806244679
192.0000        2.2327497760        0.3824262359
192.5000        2.2486887526        0.3842289858
193.0000        2.2646615061        0.3860327125
193.5000        2.2806680377        0.3878374095
194.0000        2.2967083488        0.3896430702
194.5000        2.3127824408        0.3914496874
195.0000        2.3288903153        0.3932572540
195.5000        2.3450319736        0.3950657629
196.0000        2.3612074171        0.3968752075
196.5000        2.3774166469        0.3986855822
197.0000        2.3936596641        0.4004968819
197.5000        2.4099364694        0.4023091030
198.0000        2.4262470635        0.4041222428
198.5000        2.4425914467        0.4059362995
199.0000        2.4589696190        0.4077512725
199.5000        2.4753815806        0.4095671621
200.0000        2.4918273313        0.4113839686
200.5000        2.5083068709        0.4132016931
201.0000        2.5248201992        0.4150203362
201.5000        2.5413673162        0.4168398984
202.0000        2.5579482218        0.4186603793
202.5000        2.5745629162        0.4204817778
203.0000        2.5912113998        0.4223040919
203.5000        2.6078936730        0.4241273185
204.0000        2.6246097367        0.4259514537
204.5000        2.6413595915        0.4277764926
