       t         state 0 pop         state 1 pop         state 2 pop         state 3 pop         state 4 pop         state 5 pop         state 6 pop         state 7 pop         state 8 pop              poptot
  0.0000        0.0001302502        0.0001344826        0.0001394812        0.0001442183        0.0002478039        0.0002590397        0.0002725437        0.0002855779        0.9983866025        1.0000000000
  0.5000        0.0001336652        0.0001379717        0.0001430745        0.0001478931        0.0002546387        0.0002660917        0.0002799003        0.0002931789        0.9983435860        1.0000000000
  1.0000        0.0000000009        0.0000000009        0.0000000009        0.0000000010        0.0000000018        0.0000000019        0.0000000020        0.0000000021        0.9999999885        1.0000000000
  1.5000        0.0000000308        0.0000000320        0.0000000334        0.0000000347        0.0000000651        0.0000000688        0.0000000732        0.0000000777        0.9999995844        1.0000000000
  2.0000        0.0000001026        0.0000001066        0.0000001113        0.0000001159        0.0000002189        0.0000002313        0.0000002463        0.0000002612        0.9999986058        1.0000000000
  2.5000        0.0000002138        0.0000002222        0.0000002322        0.0000002419        0.0000004614        0.0000004877        0.0000005196        0.0000005513        0.9999970699        1.0000000000
  3.0000        0.0000003597        0.0000003743        0.0000003916        0.0000004082        0.0000007888        0.0000008343        0.0000008894        0.0000009442        0.9999950096        1.0000000000
  3.5000        0.0000005342        0.0000005567        0.0000005833        0.0000006090        0.0000011950        0.0000012651        0.0000013501        0.0000014343        0.9999924724        1.0000000000
  4.0000        0.0000007298        0.0000007620        0.0000008000        0.0000008366        0.0000016722        0.0000017724        0.0000018938        0.0000020141        0.9999895190        1.0000000000
  4.5000        0.0000009381        0.0000009817        0.0000010330        0.0000010827        0.0000022109        0.0000023467        0.0000025113        0.0000026743        0.9999862213        1.0000000000
  5.0000        0.0000011499        0.0000012067        0.0000012732        0.0000013378        0.0000028000        0.0000029771        0.0000031915        0.0000034040        0.9999826600        1.0000000000
  5.5000        0.0000013559        0.0000014274        0.0000015109        0.0000015923        0.0000034271        0.0000036511        0.0000039222        0.0000041909        0.9999789222        1.0000000000
  6.0000        0.0000015469        0.0000016346        0.0000017366        0.0000018366        0.0000040790        0.0000043556        0.0000046899        0.0000050218        0.9999750989        1.0000000000
  6.5000        0.0000017146        0.0000018195        0.0000019412        0.0000020612        0.0000047418        0.0000050765        0.0000054807        0.0000058824        0.9999712822        1.0000000000
  7.0000        0.0000018513        0.0000019743        0.0000021166        0.0000022576        0.0000054011        0.0000057994        0.0000062796        0.0000067579        0.9999675622        1.0000000000
  7.5000        0.0000019511        0.0000020924        0.0000022556        0.0000024184        0.0000060427        0.0000065096        0.0000070719        0.0000076332        0.9999640251        1.0000000000
  8.0000        0.0000020093        0.0000021687        0.0000023526        0.0000025373        0.0000066527        0.0000071929        0.0000078426        0.0000084931        0.9999607506        1.0000000000
  8.5000        0.0000020235        0.0000022001        0.0000024037        0.0000026098        0.0000072178        0.0000078355        0.0000085774        0.0000093226        0.9999578096        1.0000000000
  9.0000        0.0000019928        0.0000021852        0.0000024068        0.0000026331        0.0000077256        0.0000084241        0.0000092624        0.0000101075        0.9999552624        1.0000000000
  9.5000        0.0000019186        0.0000021244        0.0000023618        0.0000026064        0.0000081650        0.0000089471        0.0000098848        0.0000108340        0.9999531579        1.0000000000
