       t                  x1                  x2
  0.0000       -0.8796906230        0.2551129464
  0.5000       -0.8765591126        0.2582890178
  1.0000       -0.8733937304        0.2614650733
  1.5000       -0.8701944857        0.2646410721
  2.0000       -0.8669613939        0.2678169474
  2.5000       -0.8636944764        0.2709926077
  3.0000       -0.8603937604        0.2741679397
  3.5000       -0.8570592780        0.2773428104
  4.0000       -0.8536910660        0.2805170712
  4.5000       -0.8502891651        0.2836905608
  5.0000       -0.8468671152        0.2868506075
  5.5000       -0.8434248824        0.2899969254
  6.0000       -0.8399489513        0.2931419505
  6.5000       -0.8364393222        0.2962856818
  7.0000       -0.8328960274        0.2994280871
  7.5000       -0.8293191230        0.3025690768
  8.0000       -0.8257085427        0.3057086961
  8.5000       -0.8220642865        0.3088469444
  9.0000       -0.8183863550        0.3119838199
  9.5000       -0.8146747490        0.3151193199
 10.0000       -0.8109294698        0.3182534396
 10.5000       -0.8071505194        0.3213861726
 11.0000       -0.8033379003        0.3245175104
 11.5000       -0.7994916160        0.3276474418
 12.0000       -0.7956116705        0.3307759536
 12.5000       -0.7916980690        0.3339030297
 13.0000       -0.7877508174        0.3370286515
 13.5000       -0.7837699225        0.3401527981
 14.0000       -0.7797553922        0.3432754461
 14.5000       -0.7757072352        0.3463965696
 15.0000       -0.7716254610        0.3495161408
 15.5000       -0.7675100802        0.3526341301
 16.0000       -0.7633611038        0.3557505062
 16.5000       -0.7591785439        0.3588652362
 17.0000       -0.7549624131        0.3619782865
 17.5000       -0.7507127245        0.3650896224
 18.0000       -0.7464294917        0.3681992089
 18.5000       -0.7421127289        0.3713070105
 19.0000       -0.7377624504        0.3744129919
 19.5000       -0.7333786708        0.3775171180
 20.0000       -0.7289614049        0.3806193540
 20.5000       -0.7245106675        0.3837196658
 21.0000       -0.7200264734        0.3868180202
 21.5000       -0.7155088376        0.3899143846
 22.0000       -0.7109577747        0.3930087275
 22.5000       -0.7063732993        0.3961010184
 23.0000       -0.7017554261        0.3991912276
 23.5000       -0.6971041691        0.4022793266
 24.0000       -0.6924195427        0.4053652875
 24.5000       -0.6877015607        0.4084490837
 25.0000       -0.6829502370        0.4115306889
 25.5000       -0.6781655852        0.4146100776
 26.0000       -0.6733476189        0.4176872248
 26.5000       -0.6684965700        0.4207619679
 27.0000       -0.6636130850        0.4238338921
 27.5000       -0.6586962789        0.4269035581
 28.0000       -0.6537462050        0.4299709236
 28.5000       -0.6487628759        0.4330359442
 29.0000       -0.6437462639        0.4360986330
 29.5000       -0.6386963696        0.4391589890
 30.0000       -0.6336131939        0.4422170099
 30.5000       -0.6284967388        0.4452726922
 31.0000       -0.6233470069        0.4483260303
 31.5000       -0.6181640023        0.4513770166
 32.0000       -0.6129477302        0.4544256409
 32.5000       -0.6076981974        0.4574718904
 33.0000       -0.6024154124        0.4605157495
 33.5000       -0.5970993853        0.4635571995
 34.0000       -0.5917501282        0.4665962187
 34.5000       -0.5863676550        0.4696327823
 35.0000       -0.5809519820        0.4726668625
 35.5000       -0.5755031270        0.4756984284
 36.0000       -0.5700211102        0.4787274463
 36.5000       -0.5645059539        0.4817538796
 37.0000       -0.5589576822        0.4847776893
 37.5000       -0.5533763214        0.4877988339
 38.0000       -0.5477618996        0.4908172697
 38.5000       -0.5421144470        0.4938329511
 39.0000       -0.5364339954        0.4968458308
 39.5000       -0.5307205783        0.4998558601
