       t                  x1                  x2
 66.0000       -0.3559199866        0.5996348417
 66.5000       -0.3499396634        0.6021917009
 67.0000       -0.3439280030        0.6047440330
 67.5000       -0.3378850638        0.6072917898
 68.0000       -0.3318109055        0.6098349229
 68.5000       -0.3257055889        0.6123733839
 69.0000       -0.3195691764        0.6149071243
 69.5000       -0.3134017316        0.6174360954
 70.0000       -0.3072033196        0.6199602486
 70.5000       -0.3009740070        0.6224795354
 71.0000       -0.2947138620        0.6249939073
 71.5000       -0.2884229544        0.6275033157
 72.0000       -0.2821013557        0.6300077121
 72.5000       -0.2757491393        0.6325070483
 73.0000       -0.2693663804        0.6350012759
 73.5000       -0.2629531562        0.6374903467
 74.0000       -0.2565095463        0.6399742123
 74.5000       -0.2500356323        0.6424528247
 75.0000       -0.2435314982        0.6449261355
 75.5000       -0.2369972307        0.6473940966
 76.0000       -0.2304329192        0.6498566597
 76.5000       -0.2238386557        0.6523137763
 77.0000       -0.2172145354        0.6547653981
 77.5000       -0.2105606568        0.6572114764
 78.0000       -0.2038771214        0.6596519624
 78.5000       -0.1971640345        0.6620868073
 79.0000       -0.1904215050        0.6645159619
 79.5000       -0.1836496459        0.6669393768
 80.0000       -0.1768485739        0.6693570025
 80.5000       -0.1700184103        0.6717687892
 81.0000       -0.1631592809        0.6741746869
 81.5000       -0.1562713159        0.6765746453
 82.0000       -0.1493546507        0.6789686140
 82.5000       -0.1424094254        0.6813565423
 83.0000       -0.1354357857        0.6837383796
 83.5000       -0.1284338826        0.6861140748
 84.0000       -0.1214038728        0.6884835770
 84.5000       -0.1143459188        0.6908468353
 85.0000       -0.1072601891        0.6932037987
 85.5000       -0.1001468586        0.6955544163
 86.0000       -0.0930061085        0.6978986377
 86.5000       -0.0858381265        0.7002364124
 87.0000       -0.0786431072        0.7025676905
 87.5000       -0.0714212521        0.7048924227
 88.0000       -0.0641727698        0.7072105601
 88.5000       -0.0568978763        0.7095220547
 89.0000       -0.0495967950        0.7118268592
 89.5000       -0.0422697566        0.7141249275
 90.0000       -0.0349170001        0.7164162146
 90.5000       -0.0275387719        0.7187006767
 91.0000       -0.0201353268        0.7209782717
 91.5000       -0.0127069275        0.7232489589
 92.0000       -0.0052538452        0.7255126995
 92.5000        0.0022236407        0.7277694569
 93.0000        0.0097252420        0.7300191963
 93.5000        0.0172506621        0.7322618855
 94.0000        0.0247995954        0.7344974950
 94.5000        0.0323717279        0.7367259976
 95.0000        0.0399667362        0.7389473695
 95.5000        0.0475842883        0.7411615899
 96.0000        0.0552240431        0.7433686412
 96.5000        0.0628856503        0.7455685097
 97.0000        0.0705687506        0.7477611851
 97.5000        0.0782729756        0.7499466614
 98.0000        0.0859979477        0.7521249366
 98.5000        0.0937432802        0.7542960131
 99.0000        0.1015085775        0.7564598980
 99.5000        0.1092934346        0.7586166030
100.0000        0.1170974378        0.7607661450
100.5000        0.1249201645        0.7629085460
101.0000        0.1327611832        0.7650438333
101.5000        0.1406200537        0.7671720398
102.0000        0.1484963276        0.7692932042
102.5000        0.1563895478        0.7714073708
103.0000        0.1642992493        0.7735145903
103.5000        0.1722249592        0.7756149193
104.0000        0.1801661970        0.7777084208
104.5000        0.1881224748        0.7797951642
105.0000        0.1960932978        0.7818752254
105.5000        0.2040781645        0.7839486868
106.0000        0.2120765673        0.7860156375
106.5000        0.2200879927        0.7880761734
107.0000        0.2281119220        0.7901303970
107.5000        0.2361478316        0.7921784174
108.0000        0.2441951937        0.7942203505
108.5000        0.2522534769        0.7962563186
109.0000        0.2603221466        0.7982864509
109.5000        0.2684006661        0.8003108826
110.0000        0.2766878147        0.8023795271
110.5000        0.2857849988        0.8046450406
111.0000        0.2948974644        0.8069105042
111.5000        0.3040252114        0.8091759174
112.0000        0.3131682393        0.8114412789
112.5000        0.3223265477        0.8137065863
113.0000        0.3315001354        0.8159718359
113.5000        0.3406890008        0.8182370222
114.0000        0.3498931419        0.8205021379
114.5000        0.3591125559        0.8227671730
115.0000        0.3683472390        0.8250321151
115.5000        0.3775971866        0.8272969488
116.0000        0.3868623930        0.8295616555
116.5000        0.3961428512        0.8318262133
117.0000        0.4054385529        0.8340905963
117.5000        0.4147494879        0.8363547748
118.0000        0.4240756444        0.8386187151
118.5000        0.4334170084        0.8408823789
119.0000        0.4427735636        0.8431457235
119.5000        0.4521452908        0.8454087016
120.0000        0.4615321679        0.8476712612
120.5000        0.4709341693        0.8499333454
121.0000        0.4803512655        0.8521948927
121.5000        0.4897834225        0.8544558366
122.0000        0.4992332247        0.8567167257
122.5000        0.5087219836        0.8589817536
123.0000        0.5182262498        0.8612447491
123.5000        0.5277458238        0.8635057056
124.0000        0.5372804921        0.8657646181
124.5000        0.5468300265        0.8680214832
125.0000        0.5563941849        0.8702762996
125.5000        0.5659727105        0.8725290679
126.0000        0.5755653322        0.8747797910
126.5000        0.5851717645        0.8770284743
127.0000        0.5947917077        0.8792751258
127.5000        0.6044248478        0.8815197563
128.0000        0.6140708566        0.8837623798
128.5000        0.6237293921        0.8860030133
129.0000        0.6334000984        0.8882416778
129.5000        0.6430826060        0.8904783976
130.0000        0.6527765323        0.8927132014
130.5000        0.6624814816        0.8949461220
131.0000        0.6721970455        0.8971771969
131.5000        0.6819228034        0.8994064682
132.0000        0.6916583231        0.9016339834
132.5000        0.7014031609        0.9038597952
133.0000        0.7111568626        0.9060839619
133.5000        0.7209189640        0.9083065476
134.0000        0.7306889917        0.9105276226
134.5000        0.7404664638        0.9127472634
135.0000        0.7502508908        0.9149655529
135.5000        0.7600417769        0.9171825807
136.0000        0.7698386210        0.9193984429
136.5000        0.7796409175        0.9216132421
137.0000        0.7894481584        0.9238270878
137.5000        0.7992598341        0.9260400958
138.0000        0.8090754356        0.9282523881
138.5000        0.8188944554        0.9304640927
139.0000        0.8287163904        0.9326753432
139.5000        0.8385407430        0.9348862781
140.0000        0.8483670237        0.9370970403
140.5000        0.8581947532        0.9393077760
141.0000        0.8680234648        0.9415186343
141.5000        0.8778527068        0.9437297657
142.0000        0.8876820455        0.9459413209
142.5000        0.8973659759        0.9481205198
143.0000        0.9068317404        0.9502485960
