       t         state 0 pop         state 1 pop         state 2 pop         state 3 pop         state 4 pop         state 5 pop         state 6 pop         state 7 pop         state 8 pop              poptot
  0.0000        1.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        1.0000000000
  0.5000        0.9999384301        0.0000077068        0.0000077056        0.0000077043        0.0000077030        0.0000076900        0.0000076884        0.0000076868        0.0000076851        1.0000000002
  1.0000        0.9997585569        0.0000303458        0.0000303266        0.0000303069        0.0000302867        0.0000300827        0.0000300575        0.0000300319        0.0000300059        1.0000000008
  1.5000        0.9994719922        0.0000668179        0.0000667226        0.0000666249        0.0000665247        0.0000655175        0.0000653939        0.0000652681        0.0000651400        1.0000000017
  2.0000        0.9990955049        0.0001155647        0.0001152709        0.0001149700        0.0001146619        0.0001115784        0.0001112022        0.0001108195        0.0001104304        1.0000000028
  2.5000        0.9986499969        0.0001746350        0.0001739389        0.0001732266        0.0001724983        0.0001652569        0.0001643795        0.0001634883        0.0001625836        1.0000000040
  3.0000        0.9981592842        0.0002417632        0.0002403689        0.0002389443        0.0002374899        0.0002231467        0.0002214238        0.0002196771        0.0002179072        1.0000000052
  3.5000        0.9976487596        0.0003144555        0.0003119728        0.0003094405        0.0003068597        0.0002816575        0.0002786614        0.0002756311        0.0002725679        1.0000000061
  4.0000        0.9971440163        0.0003900832        0.0003860326        0.0003819092        0.0003777154        0.0003372335        0.0003324798        0.0003276850        0.0003228518        1.0000000068
  4.5000        0.9966695100        0.0004659753        0.0004598014        0.0004535308        0.0004471682        0.0003865647        0.0003795497        0.0003724966        0.0003654103        1.0000000071
  5.0000        0.9962473336        0.0005395122        0.0005306038        0.0005215795        0.0005124474        0.0004267773        0.0004170240        0.0004072539        0.0003974753        1.0000000070
  5.5000        0.9958961684        0.0006082126        0.0005959297        0.0005835235        0.0005710071        0.0004555927        0.0004427010        0.0004298424        0.0004170292        1.0000000066
  6.0000        0.9956304618        0.0006698139        0.0006535191        0.0006371146        0.0006206208        0.0004714474        0.0004551445        0.0004389632        0.0004229205        1.0000000058
  6.5000        0.9954598675        0.0007223424        0.0007014354        0.0006804649        0.0006594603        0.0004735672        0.0004537521        0.0004341955        0.0004149197        1.0000000048
