       t         state 0 pop         state 1 pop         state 2 pop         state 3 pop         state 4 pop         state 5 pop         state 6 pop         state 7 pop         state 8 pop              poptot
 17.5000        0.0000015279        0.0000015737        0.0000016429        0.0000016983        0.0000046598        0.0000049060        0.0000052849        0.0000056152        0.9999730913        1.0000000000
 18.0000        0.0000023841        0.0000024562        0.0000025656        0.0000026527        0.0000073903        0.0000077750        0.0000083735        0.0000088907        0.9999575118        1.0000000000
 18.5000        0.0000034013        0.0000035059        0.0000036650        0.0000037912        0.0000107467        0.0000112990        0.0000121679        0.0000129122        0.9999385108        1.0000000000
 19.0000        0.0000045565        0.0000047004        0.0000049189        0.0000050921        0.0000147178        0.0000154668        0.0000166573        0.0000176687        0.9999162214        1.0000000000
 19.5000        0.0000058234        0.0000060137        0.0000063018        0.0000065303        0.0000192866        0.0000202611        0.0000218253        0.0000231435        0.9998908143        1.0000000000
 20.0000        0.0000071721        0.0000074166        0.0000077847        0.0000080773        0.0000244301        0.0000256591        0.0000276500        0.0000293152        0.9998624948        1.0000000000
 20.5000        0.0000085706        0.0000088775        0.0000093364        0.0000097024        0.0000301198        0.0000316328        0.0000341045        0.0000361572        0.9998314988        1.0000000000
 21.0000        0.0000099852        0.0000103634        0.0000109238        0.0000113732        0.0000363217        0.0000381490        0.0000411567        0.0000436385        0.9997980884        1.0000000000
 21.5000        0.0000113816        0.0000118403        0.0000125130        0.0000130562        0.0000429972        0.0000451698        0.0000487704        0.0000517236        0.9997625479        1.0000000000
 22.0000        0.0000127257        0.0000132743        0.0000140699        0.0000147175        0.0000501028        0.0000526531        0.0000569047        0.0000603733        0.9997251788        1.0000000000
 22.5000        0.0000139844        0.0000146325        0.0000155610        0.0000163237        0.0000575912        0.0000605529        0.0000655151        0.0000695445        0.9996862948        1.0000000000
 23.0000        0.0000151268        0.0000158834        0.0000169543        0.0000178427        0.0000654110        0.0000688195        0.0000745536        0.0000791910        0.9996462176        1.0000000000
 23.5000        0.0000161246        0.0000169983        0.0000182198        0.0000192440        0.0000735082        0.0000774005        0.0000839693        0.0000892639        0.9996052715        1.0000000000
 24.0000        0.0000169529        0.0000179513        0.0000193303        0.0000204997        0.0000818257        0.0000862408        0.0000937086        0.0000997118        0.9995637789        1.0000000000
 24.5000        0.0000175912        0.0000187205        0.0000202620        0.0000215849        0.0000903047        0.0000952832        0.0001037160        0.0001104813        0.9995220563        1.0000000000
 25.0000        0.0000180234        0.0000192881        0.0000209952        0.0000224783        0.0000988845        0.0001044692        0.0001139342        0.0001215176        0.9994804094        1.0000000000
 25.5000        0.0000182386        0.0000196411        0.0000215144        0.0000231625        0.0001075038        0.0001137393        0.0001243050        0.0001327648        0.9994391303        1.0000000000
 26.0000        0.0000182314        0.0000197716        0.0000218088        0.0000236246        0.0001161008        0.0001230336        0.0001347694        0.0001441663        0.9993984935        1.0000000000
 26.5000        0.0000180018        0.0000196768        0.0000218725        0.0000238562        0.0001246140        0.0001322922        0.0001452683        0.0001556653        0.9993587530        1.0000000000
 27.0000        0.0000175553        0.0000193590        0.0000217048        0.0000238535        0.0001329825        0.0001414559        0.0001557431        0.0001672055        0.9993201404        1.0000000000
 27.5000        0.0000000241        0.0000000243        0.0000000251        0.0000000255        0.0000000876        0.0000000899        0.0000000959        0.0000001002        0.9999995274        1.0000000000
 28.0000        0.0000002975        0.0000002999        0.0000003093        0.0000003141        0.0000010906        0.0000011158        0.0000011890        0.0000012398        0.9999941439        1.0000000000
 28.5000        0.0000008777        0.0000008839        0.0000009113        0.0000009246        0.0000032515        0.0000033190        0.0000035328        0.0000036775        0.9999826218        1.0000000000
 29.0000        0.0000017613        0.0000017725        0.0000018270        0.0000018526        0.0000066115        0.0000067343        0.0000071604        0.0000074420        0.9999648384        1.0000000000
 29.5000        0.0000029382        0.0000029553        0.0000030462        0.0000030878        0.0000112042        0.0000113888        0.0000120978        0.0000125553        0.9999407264        1.0000000000
 30.0000        0.0000043912        0.0000044154        0.0000045523        0.0000046140        0.0000170553        0.0000173020        0.0000183636        0.0000190323        0.9999102739        1.0000000000
 30.5000        0.0000060967        0.0000061299        0.0000063230        0.0000064094        0.0000241825        0.0000244857        0.0000259691        0.0000268813        0.9998735225        1.0000000000
 31.0000        0.0000080250        0.0000080702        0.0000083305        0.0000084472        0.0000325955        0.0000329441        0.0000349184        0.0000361036        0.9998305655        1.0000000000
 31.5000        0.0000101414        0.0000102029        0.0000105424        0.0000106963        0.0000422959        0.0000426738        0.0000452083        0.0000466943        0.9997815448        1.0000000000
 32.0000        0.0000124063        0.0000124901        0.0000129218        0.0000131213        0.0000532777        0.0000536641        0.0000568289        0.0000586419        0.9997266478        1.0000000000
 32.5000        0.0000147768        0.0000148908        0.0000154288        0.0000156840        0.0000655268        0.0000658970        0.0000697633        0.0000719292        0.9996661034        1.0000000000
 33.0000        0.0000172071        0.0000173611        0.0000180206        0.0000183433        0.0000790219        0.0000793476        0.0000839883        0.0000865329        0.9996001772        1.0000000000
 33.5000        0.0000196495        0.0000198555        0.0000206527        0.0000210566        0.0000937344        0.0000939845        0.0000994747        0.0001024245        0.9995291674        1.0000000000
 34.0000        0.0000220560        0.0000223280        0.0000232800        0.0000237804        0.0001096288        0.0001097698        0.0001161873        0.0001195705        0.9994533992        1.0000000000
 34.5000        0.0000000020        0.0000000020        0.0000000020        0.0000000021        0.0000000087        0.0000000086        0.0000000091        0.0000000094        0.9999999560        1.0000000000
 35.0000        0.0000002473        0.0000002445        0.0000002497        0.0000002499        0.0000010725        0.0000010636        0.0000011210        0.0000011504        0.9999946011        1.0000000000
 35.5000        0.0000009082        0.0000008967        0.0000009149        0.0000009148        0.0000039827        0.0000039362        0.0000041415        0.0000042409        0.9999800640        1.0000000000
 36.0000        0.0000019876        0.0000019596        0.0000019984        0.0000019963        0.0000088340        0.0000087014        0.0000091403        0.0000093403        0.9999560420        1.0000000000
 36.5000        0.0000034795        0.0000034267        0.0000034932        0.0000034869        0.0000157137        0.0000154260        0.0000161792        0.0000165005        0.9999222944        1.0000000000
 37.0000        0.0000053698        0.0000052833        0.0000053850        0.0000053726        0.0000247010        0.0000241684        0.0000253118        0.0000257656        0.9998786426        1.0000000000
 37.5000        0.0000076359        0.0000075074        0.0000076525        0.0000076325        0.0000358675        0.0000349787        0.0000365837        0.0000371726        0.9998249692        1.0000000000
 38.0000        0.0000102476        0.0000100699        0.0000102676        0.0000102398        0.0000492765        0.0000478985        0.0000500327        0.0000507510        0.9997612164        1.0000000000
