       t                  x1                  x2
  0.0000       -0.7541883093        0.1782674491
  0.5000       -0.7519365413        0.1817078042
  1.0000       -0.7496508998        0.1851481493
  1.5000       -0.7473313892        0.1885884589
  2.0000       -0.7449780175        0.1920286906
  2.5000       -0.7425907955        0.1954687861
  3.0000       -0.7401697374        0.1989086720
  3.5000       -0.7377148602        0.2023482614
  4.0000       -0.7352261838        0.2057874556
  4.5000       -0.7327152257        0.2092102559
  5.0000       -0.7301733837        0.2126280795
  5.5000       -0.7275977853        0.2160448477
  6.0000       -0.7249884308        0.2194605595
  6.5000       -0.7223453206        0.2228752130
  7.0000       -0.7196684554        0.2262888049
  7.5000       -0.7169578363        0.2297013303
  8.0000       -0.7142134649        0.2331127825
  8.5000       -0.7114353432        0.2365231527
  9.0000       -0.7086234740        0.2399324300
  9.5000       -0.7057778606        0.2433406011
 10.0000       -0.7028985069        0.2467476502
 10.5000       -0.6999854176        0.2501535591
 11.0000       -0.6970385981        0.2535583072
 11.5000       -0.6940580547        0.2569618715
 12.0000       -0.6910437943        0.2603642269
 12.5000       -0.6879958245        0.2637653460
 13.0000       -0.6849141539        0.2671651993
 13.5000       -0.6817987914        0.2705637559
 14.0000       -0.6786497471        0.2739609832
 14.5000       -0.6754670312        0.2773568472
 15.0000       -0.6722506548        0.2807513129
 15.5000       -0.6690006295        0.2841443446
 16.0000       -0.6657184574        0.2875343392
 16.5000       -0.6624028357        0.2909226080
 17.0000       -0.6590535999        0.2943093211
 17.5000       -0.6556707503        0.2976944774
 18.0000       -0.6522542877        0.3010780746
 18.5000       -0.6488042131        0.3044601094
 19.0000       -0.6453205284        0.3078405763
 19.5000       -0.6418032360        0.3112194683
 20.0000       -0.6382523391        0.3145967760
 20.5000       -0.6346678418        0.3179724879
 21.0000       -0.6310497491        0.3213465897
 21.5000       -0.6273980673        0.3247190646
 22.0000       -0.6237128034        0.3280898934
 22.5000       -0.6199939659        0.3314590539
 23.0000       -0.6162415641        0.3348265217
 23.5000       -0.6124556089        0.3381922693
 24.0000       -0.6086361120        0.3415562673
 24.5000       -0.6047830866        0.3449184838
 25.0000       -0.6008965469        0.3482788846
 25.5000       -0.5969765081        0.3516374339
 26.0000       -0.5930229868        0.3549940939
 26.5000       -0.5890360005        0.3583488255
 27.0000       -0.5850155675        0.3617015881
 27.5000       -0.5809627810        0.3650514462
 28.0000       -0.5768782344        0.3683978240
 28.5000       -0.5727603370        0.3717420167
 29.0000       -0.5686090893        0.3750840238
 29.5000       -0.5644244918        0.3784238434
 30.0000       -0.5602065460        0.3817614727
 30.5000       -0.5559552540        0.3850969071
 31.0000       -0.5516706188        0.3884301403
 31.5000       -0.5473526446        0.3917611637
 32.0000       -0.5430013368        0.3950899664
 32.5000       -0.5386167021        0.3984165349
 33.0000       -0.5341987487        0.4017408529
 33.5000       -0.5297474866        0.4050629014
 34.0000       -0.5252629273        0.4083826584
 34.5000       -0.5207453044        0.4116999371
 35.0000       -0.5161964930        0.4150132458
 35.5000       -0.5116145938        0.4183238995
 36.0000       -0.5069996073        0.4216318977
 36.5000       -0.5023515340        0.4249372389
 37.0000       -0.4976703755        0.4282399208
 37.5000       -0.4929561342        0.4315399390
 38.0000       -0.4882088134        0.4348372878
 38.5000       -0.4834284180        0.4381319591
 39.0000       -0.4786149543        0.4414239424
 39.5000       -0.4737684301        0.4447132247
 40.0000       -0.4688888555        0.4479997902
 40.5000       -0.4639762422        0.4512836202
 41.0000       -0.4590306042        0.4545646930
 41.5000       -0.4540519579        0.4578429839
 42.0000       -0.4490403220        0.4611184649
 42.5000       -0.4439957176        0.4643911052
 43.0000       -0.4389181683        0.4676608708
 43.5000       -0.4338077006        0.4709277248
 44.0000       -0.4286643432        0.4741916274
 44.5000       -0.4234881277        0.4774525362
 45.0000       -0.4182790884        0.4807104063
 45.5000       -0.4130372620        0.4839651902
 46.0000       -0.4077626879        0.4872168384
 46.5000       -0.4024554083        0.4904652992
 47.0000       -0.3971154676        0.4937105193
 47.5000       -0.3917429129        0.4969524437
 48.0000       -0.3863377937        0.5001910161
 48.5000       -0.3809001618        0.5034261789
 49.0000       -0.3754300714        0.5066578736
 49.5000       -0.3699275789        0.5098860408
 50.0000       -0.3643927430        0.5131106205
 50.5000       -0.3588256245        0.5163315524
 51.0000       -0.3532361750        0.5195430060
 51.5000       -0.3476159616        0.5227497258
 52.0000       -0.3419639035        0.5259523332
 52.5000       -0.3362800018        0.5291508271
 53.0000       -0.3305642586        0.5323452051
 53.5000       -0.3248166777        0.5355354635
 54.0000       -0.3190372643        0.5387215967
 54.5000       -0.3132260262        0.5419035969
 55.0000       -0.3073829735        0.5450814540
 55.5000       -0.3015081190        0.5482551555
 56.0000       -0.2956014791        0.5514246859
 56.5000       -0.2896630733        0.5545900267
 57.0000       -0.2836929251        0.5577511564
 57.5000       -0.2776910621        0.5609080503
 58.0000       -0.2716575161        0.5640606804
 58.5000       -0.2655923237        0.5672090156
 59.0000       -0.2594955260        0.5703530212
 59.5000       -0.2533671693        0.5734926594
 60.0000       -0.2472073050        0.5766278894
