       t                  x1                  x2
  0.0000       -1.0372138597        0.1963932661
  0.5000       -1.0345656221        0.1985822857
  1.0000       -1.0318870045        0.2007684373
  1.5000       -1.0291885240        0.2029426948
  2.0000       -1.0264562312        0.2051161758
  2.5000       -1.0236901262        0.2072888800
  3.0000       -1.0208902091        0.2094608062
  3.5000       -1.0180564804        0.2116319522
  4.0000       -1.0151889406        0.2138023148
  4.5000       -1.0122875904        0.2159718895
  5.0000       -1.0093524308        0.2181406700
  5.5000       -1.0063834632        0.2203086487
  6.0000       -1.0033806893        0.2224758161
  6.5000       -1.0003441110        0.2246421612
  7.0000       -0.9972737305        0.2268076714
  7.5000       -0.9941695504        0.2289723323
  8.0000       -0.9910315737        0.2311361286
  8.5000       -0.9878598036        0.2332990435
  9.0000       -0.9846542432        0.2354610593
  9.5000       -0.9814148964        0.2376221576
 10.0000       -0.9781417669        0.2397823195
 10.5000       -0.9748348586        0.2419415258
 11.0000       -0.9714941754        0.2440997571
 11.5000       -0.9681197214        0.2462569946
 12.0000       -0.9647115006        0.2484132195
 12.5000       -0.9612695170        0.2505684138
 13.0000       -0.9577937745        0.2527225601
 13.5000       -0.9542842770        0.2548756418
 14.0000       -0.9507410979        0.2570276057
 14.5000       -0.9471641845        0.2591784837
 15.0000       -0.9435535214        0.2613282773
 15.5000       -0.9399091110        0.2634769769
 16.0000       -0.9362309558        0.2656245728
 16.5000       -0.9325190583        0.2677710554
 17.0000       -0.9287734212        0.2699164146
 17.5000       -0.9249940469        0.2720606400
 18.0000       -0.9211809384        0.2742037208
 18.5000       -0.9173340983        0.2763456457
 19.0000       -0.9134535296        0.2784864028
 19.5000       -0.9095392355        0.2806259797
 20.0000       -0.9055912190        0.2827643634
 20.5000       -0.9016094834        0.2849015404
 21.0000       -0.8975940323        0.2870374968
 21.5000       -0.8935448690        0.2891722181
 22.0000       -0.8894619973        0.2913056897
 22.5000       -0.8853454208        0.2934378967
 23.0000       -0.8811951434        0.2955688240
 23.5000       -0.8770111688        0.2976984565
 24.0000       -0.8727935010        0.2998267792
 24.5000       -0.8685422980        0.3019537000
 25.0000       -0.8642575104        0.3040792371
 25.5000       -0.8599390356        0.3062034412
 26.0000       -0.8555868737        0.3083263117
 26.5000       -0.8512010251        0.3104478468
 27.0000       -0.8467814908        0.3125680439
 27.5000       -0.8423282717        0.3146868988
 28.0000       -0.8378413697        0.3168044057
 28.5000       -0.8333207868        0.3189205571
 29.0000       -0.8287665258        0.3210353434
 29.5000       -0.8241785903        0.3231487532
 30.0000       -0.8195569842        0.3252607730
 30.5000       -0.8149017124        0.3273713872
 31.0000       -0.8102127803        0.3294805784
 31.5000       -0.8054901940        0.3315883272
 32.0000       -0.8007339602        0.3336946125
 32.5000       -0.7959440865        0.3357994116
 33.0000       -0.7911205808        0.3379027005
 33.5000       -0.7862634515        0.3400044540
 34.0000       -0.7813727078        0.3421046458
 34.5000       -0.7764483590        0.3442032491
 35.0000       -0.7714904150        0.3463002365
 35.5000       -0.7664988858        0.3483955802
