       t   Mean-Field Energy       PE Difference        Total Energy                norm
  0.0000        0.2471251066        0.0005452701        0.2872158096        1.0000000000
  0.5000        0.2466647193        0.0005617650        0.2872158090        1.0000000000
  1.0000        0.2461963672        0.0005780467        0.2872158084        1.0000000001
  1.5000        0.2457205480        0.0005936216        0.2872158078        1.0000000002
  2.0000        0.2452377374        0.0006080186        0.2872158072        1.0000000004
  2.5000        0.2447483738        0.0006208045        0.2872158068        1.0000000006
  3.0000        0.2442528452        0.0006315977        0.2872158063        1.0000000009
  3.5000        0.2437514764        0.0006400798        0.2872158060        1.0000000011
  4.0000        0.2432445201        0.0006460058        0.2872158058        1.0000000013
  4.5000        0.2427321492        0.0006492102        0.2872158057        1.0000000015
  5.0000        0.2422144532        0.0006496118        0.2872158057        1.0000000017
  5.5000        0.2416914365        0.0006472143        0.2872158058        1.0000000018
  6.0000        0.2411630205        0.0006421046        0.2872158060        1.0000000018
  6.5000        0.2406290477        0.0006344485        0.2872158063        1.0000000019
  7.0000        0.2400892891        0.0006244831        0.2872158067        1.0000000018
  7.5000        0.2395434534        0.0006125073        0.2872158071        1.0000000017
  8.0000        0.2389911982        0.0005988708        0.2872158076        1.0000000016
  8.5000        0.2384321427        0.0005839615        0.2872158081        1.0000000015
  9.0000        0.2378658811        0.0005681914        0.2872158086        1.0000000013
  9.5000        0.2372919963        0.0005519831        0.2872158092        1.0000000011
 10.0000        0.2372483327        0.0000001020        0.2872158093        1.0000000009
 10.5000        0.2366449294        0.0000005156        0.2872158093        1.0000000007
 11.0000        0.2360331183        0.0000012400        0.2872158092        1.0000000005
 11.5000        0.2354129187        0.0000022596        0.2872158092        1.0000000003
 12.0000        0.2347843578        0.0000035516        0.2872158092        1.0000000002
 12.5000        0.2341474700        0.0000050859        0.2872158091        1.0000000001
 13.0000        0.2335022957        0.0000068266        0.2872158090        1.0000000001
 13.5000        0.2328488805        0.0000087327        0.2872158090        1.0000000001
 14.0000        0.2321872738        0.0000107597        0.2872158089        1.0000000002
 14.5000        0.2315175277        0.0000128605        0.2872158089        1.0000000003
 15.0000        0.2308396955        0.0000149872        0.2872158088        1.0000000004
 15.5000        0.2301538306        0.0000170920        0.2872158087        1.0000000006
 16.0000        0.2294599847        0.0000191287        0.2872158087        1.0000000008
 16.5000        0.2287582071        0.0000210540        0.2872158086        1.0000000010
 17.0000        0.2280485433        0.0000228286        0.2872158086        1.0000000011
 17.5000        0.2273310343        0.0000244180        0.2872158085        1.0000000013
 18.0000        0.2266057155        0.0000257934        0.2872158085        1.0000000015
 18.5000        0.2258726162        0.0000269321        0.2872158085        1.0000000016
 19.0000        0.2251317595        0.0000278182        0.2872158084        1.0000000017
 19.5000        0.2243831616        0.0000284424        0.2872158084        1.0000000017
 20.0000        0.2236268324        0.0000288025        0.2872158084        1.0000000017
 20.5000        0.2228627754        0.0000289023        0.2872158084        1.0000000017
 21.0000        0.2220909880        0.0000287522        0.2872158084        1.0000000016
 21.5000        0.2213114623        0.0000283677        0.2872158085        1.0000000016
 22.0000        0.2205241859        0.0000277695        0.2872158085        1.0000000014
 22.5000        0.2197291422        0.0000269819        0.2872158085        1.0000000013
 23.0000        0.2189263118        0.0000260328        0.2872158085        1.0000000011
 23.5000        0.2181156732        0.0000249519        0.2872158086        1.0000000010
 24.0000        0.2172972038        0.0000237703        0.2872158086        1.0000000008
 24.5000        0.2164708806        0.0000225195        0.2872158086        1.0000000007
 25.0000        0.2156366814        0.0000212306        0.2872158087        1.0000000005
 25.5000        0.2147945853        0.0000199333        0.2872158087        1.0000000004
 26.0000        0.2139445734        0.0000186554        0.2872158087        1.0000000003
 26.5000        0.2130866296        0.0000174220        0.2872158087        1.0000000003
 27.0000        0.2122207409        0.0000162557        0.2872158087        1.0000000003
 27.5000        0.2113468975        0.0000151754        0.2872158087        1.0000000003
 28.0000        0.2104650936        0.0000141968        0.2872158087        1.0000000003
 28.5000        0.2095753266        0.0000133322        0.2872158087        1.0000000004
 29.0000        0.2086775977        0.0000125904        0.2872158087        1.0000000005
 29.5000        0.2077719116        0.0000119771        0.2872158087        1.0000000006
 30.0000        0.2068582758        0.0000114951        0.2872158087        1.0000000007
 30.5000        0.2059367007        0.0000111447        0.2872158087        1.0000000008
 31.0000        0.2050071991        0.0000109243        0.2872158087        1.0000000010
 31.5000        0.2040697856        0.0000108304        0.2872158087        1.0000000011
 32.0000        0.2031244760        0.0000108588        0.2872158086        1.0000000012
 32.5000        0.2021712873        0.0000110043        0.2872158086        1.0000000013
 33.0000        0.2012102368        0.0000112617        0.2872158086        1.0000000014
 33.5000        0.2002413420        0.0000116262        0.2872158086        1.0000000015
 34.0000        0.1992646201        0.0000120933        0.2872158086        1.0000000015
 34.5000        0.1982800876        0.0000126596        0.2872158085        1.0000000016
 35.0000        0.1972877604        0.0000133227        0.2872158085        1.0000000016
 35.5000        0.1962876538        0.0000140815        0.2872158085        1.0000000015
 36.0000        0.1952797817        0.0000149359        0.2872158085        1.0000000015
 36.5000        0.1942641577        0.0000158873        0.2872158085        1.0000000014
 37.0000        0.1932407946        0.0000169380        0.2872158085        1.0000000014
 37.5000        0.1922097046        0.0000180910        0.2872158085        1.0000000013
 38.0000        0.1911709002        0.0000193501        0.2872158084        1.0000000012
 38.5000        0.1901243936        0.0000207192        0.2872158084        1.0000000011
 39.0000        0.1890701979        0.0000222021        0.2872158084        1.0000000010
 39.5000        0.1880083272        0.0000238020        0.2872158084        1.0000000008
 40.0000        0.1869387968        0.0000255214        0.2872158084        1.0000000008
 40.5000        0.1858616241        0.0000273614        0.2872158084        1.0000000007
 41.0000        0.1847768282        0.0000293215        0.2872158083        1.0000000006
 41.5000        0.1836844311        0.0000313994        0.2872158083        1.0000000005
 42.0000        0.1825844574        0.0000335905        0.2872158083        1.0000000005
 42.5000        0.1814769345        0.0000358879        0.2872158082        1.0000000005
 43.0000        0.1803618933        0.0000382821        0.2872158082        1.0000000004
 43.5000        0.1792393674        0.0000407614        0.2872158082        1.0000000005
 44.0000        0.1781093939        0.0000433114        0.2872158081        1.0000000005
 44.5000        0.1769720129        0.0000459154        0.2872158081        1.0000000005
 45.0000        0.1758272671        0.0000485546        0.2872158080        1.0000000006
 45.5000        0.1746752022        0.0000512083        0.2872158079        1.0000000006
 46.0000        0.1735158659        0.0000538547        0.2872158079        1.0000000007
 46.5000        0.1723493078        0.0000564705        0.2872158078        1.0000000008
 47.0000        0.1711755789        0.0000590320        0.2872158078        1.0000000008
 47.5000        0.1699947312        0.0000615156        0.2872158077        1.0000000009
 48.0000        0.1688068172        0.0000638981        0.2872158076        1.0000000010
 48.5000        0.1676118892        0.0000661573        0.2872158076        1.0000000011
 49.0000        0.1664099987        0.0000682727        0.2872158075        1.0000000011
 49.5000        0.1652011965        0.0000702257        0.2872158075        1.0000000012
 50.0000        0.1639855313        0.0000720008        0.2872158074        1.0000000012
 50.5000        0.1627630501        0.0000735852        0.2872158074        1.0000000013
 51.0000        0.1615337973        0.0000749699        0.2872158073        1.0000000013
 51.5000        0.1602978144        0.0000761497        0.2872158073        1.0000000013
 52.0000        0.1590551402        0.0000771237        0.2872158072        1.0000000013
 52.5000        0.1578058099        0.0000778952        0.2872158072        1.0000000013
 53.0000        0.1565498558        0.0000784722        0.2872158072        1.0000000013
 53.5000        0.1552873065        0.0000788674        0.2872158071        1.0000000013
 54.0000        0.1540181876        0.0000790978        0.2872158071        1.0000000013
 54.5000        0.1527425216        0.0000791850        0.2872158071        1.0000000013
 55.0000        0.1514603280        0.0000791549        0.2872158071        1.0000000012
 55.5000        0.1501716238        0.0000790374        0.2872158071        1.0000000012
 56.0000        0.1488764240        0.0000788660        0.2872158071        1.0000000011
 56.5000        0.1475747417        0.0000786776        0.2872158071        1.0000000011
 57.0000        0.1462665888        0.0000785120        0.2872158071        1.0000000010
 57.5000        0.1449519766        0.0000784112        0.2872158070        1.0000000010
 58.0000        0.1436309161        0.0000784194        0.2872158070        1.0000000010
 58.5000        0.1423034191        0.0000785820        0.2872158070        1.0000000009
 59.0000        0.1409694980        0.0000789455        0.2872158070        1.0000000009
 59.5000        0.1396291673        0.0000795567        0.2872158070        1.0000000008
 60.0000        0.1382824435        0.0000804622        0.2872158070        1.0000000008
 60.5000        0.1369293462        0.0000817082        0.2872158070        1.0000000008
 61.0000        0.1355698980        0.0000833397        0.2872158069        1.0000000007
 61.5000        0.1342041257        0.0000854007        0.2872158069        1.0000000007
 62.0000        0.1328320604        0.0000879330        0.2872158069        1.0000000007
 62.5000        0.1314537379        0.0000909768        0.2872158068        1.0000000007
 63.0000        0.1300691993        0.0000945698        0.2872158068        1.0000000007
 63.5000        0.1286784910        0.0000987473        0.2872158067        1.0000000007
 64.0000        0.1272816653        0.0001035424        0.2872158066        1.0000000007
 64.5000        0.1258787804        0.0001089855        0.2872158066        1.0000000007
 65.0000        0.1244699003        0.0001151044        0.2872158065        1.0000000007
 65.5000        0.1230550955        0.0001219247        0.2872158064        1.0000000007
 66.0000        0.1216344426        0.0001294698        0.2872158063        1.0000000008
 66.5000        0.1202080242        0.0001377610        0.2872158062        1.0000000008
 67.0000        0.1187759292        0.0001468180        0.2872158061        1.0000000008
 67.5000        0.1173382524        0.0001566592        0.2872158060        1.0000000008
 68.0000        0.1158950946        0.0001673018        0.2872158059        1.0000000008
 68.5000        0.1146251731        0.0000005877        0.2872158058        1.0000000009
 69.0000        0.1131807818        0.0000042257        0.2872158058        1.0000000009
 69.5000        0.1117287082        0.0000112695        0.2872158057        1.0000000009
 70.0000        0.1102690066        0.0000217962        0.2872158056        1.0000000009
 70.5000        0.1088017571        0.0000358638        0.2872158055        1.0000000009
 71.0000        0.1073270654        0.0000535113        0.2872158053        1.0000000010
 71.5000        0.1058450619        0.0000747597        0.2872158051        1.0000000010
 72.0000        0.1043559013        0.0000996139        0.2872158049        1.0000000010
 72.5000        0.1028597613        0.0001280632        0.2872158046        1.0000000010
 73.0000        0.1013568416        0.0001600838        0.2872158044        1.0000000010
 73.5000        0.0998473627        0.0001956398        0.2872158041        1.0000000010
 74.0000        0.0983315641        0.0002346858        0.2872158038        1.0000000010
 74.5000        0.0968097037        0.0002771684        0.2872158034        1.0000000011
 75.0000        0.0952820552        0.0003230284        0.2872158031        1.0000000011
 75.5000        0.0937489074        0.0003722032        0.2872158027        1.0000000011
 76.0000        0.0922105624        0.0004246287        0.2872158023        1.0000000011
 76.5000        0.0906673338        0.0004802414        0.2872158019        1.0000000011
 77.0000        0.0891195454        0.0005389808        0.2872158015        1.0000000011
 77.5000        0.0875675299        0.0006007917        0.2872158011        1.0000000011
 78.0000        0.0860116274        0.0006656258        0.2872158007        1.0000000011
 78.5000        0.0844521840        0.0007334441        0.2872158003        1.0000000011
 79.0000        0.0828895509        0.0008042187        0.2872157998        1.0000000011
 79.5000        0.0813240833        0.0008779349        0.2872157994        1.0000000011
 80.0000        0.0797561393        0.0009545926        0.2872157990        1.0000000011
 80.5000        0.0781860792        0.0010342084        0.2872157986        1.0000000011
 81.0000        0.0766142652        0.0011168169        0.2872157981        1.0000000011
 81.5000        0.0750410605        0.0012024725        0.2872157977        1.0000000011
 82.0000        0.0734668289        0.0012912501        0.2872157973        1.0000000011
 82.5000        0.0718919349        0.0013832474        0.2872157968        1.0000000011
 83.0000        0.0703167437        0.0014785850        0.2872157964        1.0000000010
 83.5000        0.0687416206        0.0015774082        0.2872157960        1.0000000010
 84.0000        0.0671669319        0.0016798875        0.2872157956        1.0000000010
 84.5000        0.0655930448        0.0017862198        0.2872157951        1.0000000010
 85.0000        0.0640203279        0.0018966287        0.2872157947        1.0000000010
 85.5000        0.0624491518        0.0020113656        0.2872157943        1.0000000010
 86.0000        0.0608798893        0.0021307096        0.2872157938        1.0000000010
 86.5000        0.0593129165        0.0022549685        0.2872157934        1.0000000010
 87.0000        0.0577486133        0.0023844786        0.2872157929        1.0000000010
 87.5000        0.0561873641        0.0025196048        0.2872157925        1.0000000010
 88.0000        0.0546295587        0.0026607407        0.2872157920        1.0000000010
 88.5000        0.0530755931        0.0028083082        0.2872157916        1.0000000010
 89.0000        0.0515258706        0.0029627570        0.2872157911        1.0000000010
 89.5000        0.0499808020        0.0031245638        0.2872157906        1.0000000010
 90.0000        0.0484408071        0.0032942311        0.2872157901        1.0000000010
 90.5000        0.0469063153        0.0034722862        0.2872157896        1.0000000010
 91.0000        0.0453777663        0.0036592787        0.2872157891        1.0000000010
 91.5000        0.0438556111        0.0038557789        0.2872157886        1.0000000010
 92.0000        0.0423403123        0.0040623747        0.2872157881        1.0000000010
 92.5000        0.0408323453        0.0042796682        0.2872157875        1.0000000010
 93.0000        0.0393321985        0.0045082720        0.2872157869        1.0000000010
 93.5000        0.0378403742        0.0047488043        0.2872157863        1.0000000010
 94.0000        0.0363573888        0.0050018838        0.2872157857        1.0000000010
 94.5000        0.0348837732        0.0052681235        0.2872157851        1.0000000010
 95.0000        0.0334200733        0.0055481239        0.2872157845        1.0000000010
 95.5000        0.0319668501        0.0058424652        0.2872157838        1.0000000010
 96.0000        0.0305246800        0.0061516995        0.2872157831        1.0000000010
 96.5000        0.0290941544        0.0064763410        0.2872157824        1.0000000010
 97.0000        0.0276758804        0.0068168572        0.2872157817        1.0000000010
 97.5000        0.0262704797        0.0071736584        0.2872157810        1.0000000010
 98.0000        0.0248785893        0.0075470876        0.2872157802        1.0000000010
 98.5000        0.0235008603        0.0079374102        0.2872157795        1.0000000010
 99.0000        0.0221379579        0.0083448035        0.2872157787        1.0000000010
 99.5000        0.0207905608        0.0087693475        0.2872157779        1.0000000010
100.0000        0.0194593601        0.0092110153        0.2872157771        1.0000000010
100.5000        0.0181450589        0.0096696656        0.2872157763        1.0000000010
101.0000        0.0168483711        0.0101450356        0.2872157755        1.0000000010
101.5000        0.0155700205        0.0106367360        0.2872157746        1.0000000010
102.0000        0.0143107395        0.0111442476        0.2872157738        1.0000000010
102.5000        0.0130712675        0.0116669196        0.2872157729        1.0000000010
103.0000        0.0118523502        0.0122039706        0.2872157721        1.0000000010
103.5000        0.0106547372        0.0124692577        0.2872157712        1.0000000010
104.0000        0.0094791808        0.0111558139        0.2872157703        1.0000000010
104.5000        0.0083264339        0.0098647999        0.2872157695        1.0000000010
105.0000        0.0071972482        0.0085968952        0.2872157686        1.0000000010
105.5000        0.0060923722        0.0073527753        0.2872157678        1.0000000010
106.0000        0.0050125485        0.0061331103        0.2872157670        1.0000000010
106.5000        0.0039585121        0.0049385634        0.2872157661        1.0000000010
107.0000        0.0029309871        0.0037697886        0.2872157653        1.0000000010
107.5000        0.0019306851        0.0026274290        0.2872157645        1.0000000010
108.0000        0.0009583015        0.0015121141        0.2872157638        1.0000000010
108.5000        0.0000145132        0.0004244583        0.2872157630        1.0000000010
109.0000       -0.0009000244        0.0006349426        0.2872157623        1.0000000010
109.5000       -0.0017846808        0.0016655134        0.2872157617        1.0000000010
110.0000       -0.0026388533        0.0026667026        0.2872157610        1.0000000010
110.5000       -0.0034619701        0.0036379853        0.2872157604        1.0000000010
111.0000       -0.0042534941        0.0045788665        0.2872157599        1.0000000010
111.5000       -0.0050129258        0.0052678009        0.2872157594        1.0000000010
112.0000       -0.0057398072        0.0043813442        0.2872157589        1.0000000010
112.5000       -0.0064337249        0.0035262154        0.2872157585        1.0000000010
113.0000       -0.0070943139        0.0027028009        0.2872157582        1.0000000010
113.5000       -0.0077212608        0.0019114389        0.2872157580        1.0000000010
114.0000       -0.0083143076        0.0011524149        0.2872157578        1.0000000010
114.5000       -0.0088732547        0.0004259581        0.2872157577        1.0000000010
115.0000       -0.0093979646        0.0002677620        0.2872157576        1.0000000010
115.5000       -0.0098883648        0.0009286394        0.2872157577        1.0000000010
116.0000       -0.0103444512        0.0015566347        0.2872157578        1.0000000010
