       t   Mean-Field Energy       PE Difference        Total Energy                norm
  0.0000        0.3408440141        0.0005632197        0.3878909597        1.0000000000
  0.5000        0.3400341069        0.0005566804        0.3878909600        1.0000000001
  1.0000        0.3392154626        0.0005504481        0.3878909603        1.0000000004
  1.5000        0.3383878331        0.0005447723        0.3878909606        1.0000000009
  2.0000        0.3375510037        0.0005398697        0.3878909608        1.0000000014
  2.5000        0.3367048042        0.0005359133        0.3878909610        1.0000000020
  3.0000        0.3358491165        0.0005330247        0.3878909611        1.0000000026
  3.5000        0.3349838796        0.0005312685        0.3878909611        1.0000000031
  4.0000        0.3341090921        0.0005306501        0.3878909610        1.0000000034
  4.5000        0.3332248099        0.0005311174        0.3878909609        1.0000000035
  5.0000        0.3323311428        0.0005325644        0.3878909607        1.0000000035
  5.5000        0.3314282468        0.0005348384        0.3878909604        1.0000000033
  6.0000        0.3305163152        0.0005377486        0.3878909602        1.0000000029
  6.5000        0.3295955675        0.0005410778        0.3878909599        1.0000000024
  7.0000        0.3286662373        0.0005445937        0.3878909596        1.0000000019
  7.5000        0.3277285600        0.0005480614        0.3878909593        1.0000000013
  8.0000        0.3267827605        0.0005512557        0.3878909590        1.0000000008
  8.5000        0.3258290423        0.0005539724        0.3878909588        1.0000000005
  9.0000        0.3248675775        0.0005560375        0.3878909586        1.0000000002
  9.5000        0.3238984991        0.0005573159        0.3878909585        1.0000000002
 10.0000        0.3229218962        0.0005577158        0.3878909585        1.0000000003
 10.5000        0.3219378111        0.0005571920        0.3878909585        1.0000000006
 11.0000        0.3209462389        0.0005557461        0.3878909585        1.0000000009
 11.5000        0.3199471309        0.0005534238        0.3878909586        1.0000000014
 12.0000        0.3189403983        0.0005503108        0.3878909588        1.0000000019
 12.5000        0.3179259199        0.0005465253        0.3878909590        1.0000000024
 13.0000        0.3169035496        0.0005422111        0.3878909592        1.0000000028
 13.5000        0.3158731256        0.0005375277        0.3878909594        1.0000000032
 14.0000        0.3148344798        0.0005326418        0.3878909596        1.0000000033
 14.5000        0.3137874465        0.0005277176        0.3878909598        1.0000000034
 15.0000        0.3132566462        0.0000000033        0.3878909599        1.0000000032
 15.5000        0.3121915474        0.0000000294        0.3878909599        1.0000000030
 16.0000        0.3111179964        0.0000000804        0.3878909599        1.0000000026
 16.5000        0.3100359954        0.0000001541        0.3878909599        1.0000000022
 17.0000        0.3089455476        0.0000002471        0.3878909599        1.0000000017
 17.5000        0.3078466570        0.0000003555        0.3878909598        1.0000000013
 18.0000        0.3067393281        0.0000004746        0.3878909598        1.0000000009
 18.5000        0.3056235659        0.0000005995        0.3878909598        1.0000000006
 19.0000        0.3044993754        0.0000007249        0.3878909598        1.0000000004
 19.5000        0.3033667617        0.0000008459        0.3878909598        1.0000000004
 20.0000        0.3022257293        0.0000009577        0.3878909598        1.0000000005
 20.5000        0.3010762822        0.0000010560        0.3878909598        1.0000000007
 21.0000        0.2999184240        0.0000011375        0.3878909598        1.0000000010
 21.5000        0.2987521572        0.0000011994        0.3878909598        1.0000000013
 22.0000        0.2975774834        0.0000012399        0.3878909598        1.0000000018
 22.5000        0.2963944034        0.0000012581        0.3878909598        1.0000000022
 23.0000        0.2952029169        0.0000012543        0.3878909598        1.0000000025
 23.5000        0.2940030228        0.0000012294        0.3878909598        1.0000000028
 24.0000        0.2927947190        0.0000011852        0.3878909598        1.0000000030
 24.5000        0.2915780030        0.0000011244        0.3878909598        1.0000000031
 25.0000        0.2903528715        0.0000010500        0.3878909598        1.0000000031
 25.5000        0.2891193210        0.0000009655        0.3878909598        1.0000000030
 26.0000        0.2878773475        0.0000008748        0.3878909598        1.0000000028
 26.5000        0.2866269474        0.0000007816        0.3878909598        1.0000000025
 27.0000        0.2853681168        0.0000006896        0.3878909598        1.0000000022
 27.5000        0.2841008522        0.0000006022        0.3878909598        1.0000000018
 28.0000        0.2828251508        0.0000005226        0.3878909598        1.0000000015
 28.5000        0.2815410098        0.0000004532        0.3878909598        1.0000000011
 29.0000        0.2802484273        0.0000003960        0.3878909599        1.0000000009
 29.5000        0.2789474021        0.0000003524        0.3878909599        1.0000000007
 30.0000        0.2776379334        0.0000003231        0.3878909599        1.0000000006
 30.5000        0.2763200212        0.0000003083        0.3878909599        1.0000000006
 31.0000        0.2749936660        0.0000003075        0.3878909599        1.0000000007
 31.5000        0.2736588688        0.0000003197        0.3878909598        1.0000000009
 32.0000        0.2723156311        0.0000003436        0.3878909598        1.0000000011
 32.5000        0.2709639547        0.0000003775        0.3878909598        1.0000000014
 33.0000        0.2696038416        0.0000004194        0.3878909598        1.0000000017
 33.5000        0.2682352938        0.0000004673        0.3878909598        1.0000000020
 34.0000        0.2668583136        0.0000005193        0.3878909598        1.0000000023
 34.5000        0.2654729030        0.0000005733        0.3878909598        1.0000000025
 35.0000        0.2640790638        0.0000006277        0.3878909598        1.0000000027
 35.5000        0.2626767976        0.0000006809        0.3878909598        1.0000000028
 36.0000        0.2612661058        0.0000007317        0.3878909598        1.0000000029
 36.5000        0.2598469893        0.0000007793        0.3878909598        1.0000000029
 37.0000        0.2584194489        0.0000008231        0.3878909598        1.0000000028
 37.5000        0.2569834849        0.0000008629        0.3878909598        1.0000000026
 38.0000        0.2555390973        0.0000008988        0.3878909598        1.0000000024
 38.5000        0.2540862860        0.0000009311        0.3878909598        1.0000000022
 39.0000        0.2526250504        0.0000009605        0.3878909598        1.0000000019
 39.5000        0.2511553902        0.0000009877        0.3878909598        1.0000000017
 40.0000        0.2496773045        0.0000010135        0.3878909598        1.0000000014
 40.5000        0.2481907928        0.0000010388        0.3878909598        1.0000000012
 41.0000        0.2466958545        0.0000010642        0.3878909598        1.0000000011
 41.5000        0.2451924892        0.0000010907        0.3878909598        1.0000000010
 42.0000        0.2436806964        0.0000011186        0.3878909598        1.0000000009
 42.5000        0.2421604762        0.0000011483        0.3878909598        1.0000000009
 43.0000        0.2406318286        0.0000011799        0.3878909598        1.0000000009
 43.5000        0.2390947541        0.0000012133        0.3878909598        1.0000000010
 44.0000        0.2375492534        0.0000012481        0.3878909598        1.0000000012
 44.5000        0.2359953272        0.0000012838        0.3878909598        1.0000000013
 45.0000        0.2344329768        0.0000013194        0.3878909598        1.0000000015
 45.5000        0.2328622035        0.0000013542        0.3878909598        1.0000000017
 46.0000        0.2312830086        0.0000013868        0.3878909598        1.0000000019
 46.5000        0.2296953937        0.0000014163        0.3878909598        1.0000000021
 47.0000        0.2280993604        0.0000014414        0.3878909598        1.0000000023
 47.5000        0.2264949101        0.0000014610        0.3878909598        1.0000000024
 48.0000        0.2248820443        0.0000014740        0.3878909598        1.0000000025
 48.5000        0.2232607643        0.0000014797        0.3878909598        1.0000000026
 49.0000        0.2216310712        0.0000014774        0.3878909598        1.0000000026
 49.5000        0.2199929658        0.0000014667        0.3878909598        1.0000000026
 50.0000        0.2183464488        0.0000014474        0.3878909598        1.0000000025
 50.5000        0.2166915204        0.0000014199        0.3878909598        1.0000000024
 51.0000        0.2150281806        0.0000013846        0.3878909598        1.0000000023
 51.5000        0.2133564293        0.0000013424        0.3878909598        1.0000000022
 52.0000        0.2116762657        0.0000012945        0.3878909598        1.0000000021
 52.5000        0.2099876892        0.0000012423        0.3878909598        1.0000000019
 53.0000        0.2082906986        0.0000011875        0.3878909598        1.0000000018
 53.5000        0.2065852927        0.0000011321        0.3878909598        1.0000000017
 54.0000        0.2048714701        0.0000010781        0.3878909598        1.0000000015
 54.5000        0.2031492295        0.0000010278        0.3878909598        1.0000000014
 55.0000        0.2014185692        0.0000009834        0.3878909598        1.0000000013
 55.5000        0.1996794880        0.0000009473        0.3878909598        1.0000000013
 56.0000        0.1979319845        0.0000009215        0.3878909598        1.0000000012
 56.5000        0.1961760574        0.0000009081        0.3878909598        1.0000000012
 57.0000        0.1944117059        0.0000009092        0.3878909598        1.0000000012
 57.5000        0.1926389293        0.0000009263        0.3878909598        1.0000000013
 58.0000        0.1908577272        0.0000009609        0.3878909598        1.0000000013
 58.5000        0.1890680995        0.0000010140        0.3878909598        1.0000000014
 59.0000        0.1872700466        0.0000010866        0.3878909598        1.0000000014
 59.5000        0.1854635692        0.0000011791        0.3878909598        1.0000000015
 60.0000        0.1836486685        0.0000012916        0.3878909598        1.0000000016
 60.5000        0.1818253458        0.0000014238        0.3878909598        1.0000000017
 61.0000        0.1799936033        0.0000015753        0.3878909598        1.0000000018
 61.5000        0.1781534430        0.0000017452        0.3878909598        1.0000000019
 62.0000        0.1763048676        0.0000019323        0.3878909598        1.0000000020
 62.5000        0.1744478801        0.0000021353        0.3878909598        1.0000000020
 63.0000        0.1725824837        0.0000023526        0.3878909598        1.0000000021
 63.5000        0.1707086818        0.0000025824        0.3878909598        1.0000000022
 64.0000        0.1688264781        0.0000028229        0.3878909598        1.0000000022
 64.5000        0.1669358763        0.0000030721        0.3878909598        1.0000000022
 65.0000        0.1650368804        0.0000033280        0.3878909598        1.0000000022
 65.5000        0.1631294943        0.0000035888        0.3878909598        1.0000000022
 66.0000        0.1612137220        0.0000038526        0.3878909598        1.0000000022
 66.5000        0.1592895674        0.0000041177        0.3878909598        1.0000000022
 67.0000        0.1573570346        0.0000043825        0.3878909598        1.0000000022
 67.5000        0.1554161272        0.0000046459        0.3878909598        1.0000000021
 68.0000        0.1534668489        0.0000049066        0.3878909598        1.0000000021
 68.5000        0.1515092034        0.0000051638        0.3878909597        1.0000000021
 69.0000        0.1495431940        0.0000054172        0.3878909597        1.0000000020
 69.5000        0.1475688240        0.0000056664        0.3878909597        1.0000000020
 70.0000        0.1455860964        0.0000059117        0.3878909597        1.0000000019
 70.5000        0.1435950141        0.0000061535        0.3878909597        1.0000000019
 71.0000        0.1415955799        0.0000063926        0.3878909597        1.0000000018
 71.5000        0.1395877963        0.0000066303        0.3878909597        1.0000000018
 72.0000        0.1375716660        0.0000068681        0.3878909597        1.0000000017
 72.5000        0.1355471911        0.0000071079        0.3878909597        1.0000000017
 73.0000        0.1335143741        0.0000073518        0.3878909597        1.0000000017
 73.5000        0.1314732172        0.0000076023        0.3878909597        1.0000000017
 74.0000        0.1294237226        0.0000078623        0.3878909597        1.0000000016
 74.5000        0.1273658925        0.0000081348        0.3878909597        1.0000000016
 75.0000        0.1252997293        0.0000084234        0.3878909597        1.0000000016
 75.5000        0.1232252352        0.0000087316        0.3878909597        1.0000000016
 76.0000        0.1211424129        0.0000090634        0.3878909597        1.0000000016
 76.5000        0.1190512649        0.0000094231        0.3878909597        1.0000000016
 77.0000        0.1169517941        0.0000098151        0.3878909597        1.0000000016
 77.5000        0.1148440035        0.0000102443        0.3878909597        1.0000000016
 78.0000        0.1127278964        0.0000107156        0.3878909597        1.0000000016
 78.5000        0.1106034765        0.0000112344        0.3878909597        1.0000000016
 79.0000        0.1084707476        0.0000118065        0.3878909597        1.0000000016
 79.5000        0.1063297139        0.0000124380        0.3878909597        1.0000000016
 80.0000        0.1041803801        0.0000131354        0.3878909597        1.0000000017
 80.5000        0.1020227512        0.0000139055        0.3878909597        1.0000000017
 81.0000        0.0998568324        0.0000147560        0.3878909596        1.0000000017
 81.5000        0.0976826298        0.0000156950        0.3878909596        1.0000000017
 82.0000        0.0955001494        0.0000167312        0.3878909596        1.0000000017
 82.5000        0.0933093981        0.0000178744        0.3878909596        1.0000000017
 83.0000        0.0911103830        0.0000191352        0.3878909596        1.0000000017
 83.5000        0.0889031118        0.0000205251        0.3878909596        1.0000000017
 84.0000        0.0866875927        0.0000220573        0.3878909596        1.0000000017
 84.5000        0.0844638344        0.0000237460        0.3878909596        1.0000000018
 85.0000        0.0822318460        0.0000256075        0.3878909596        1.0000000018
 85.5000        0.0799916374        0.0000276598        0.3878909596        1.0000000018
 86.0000        0.0777432189        0.0000299233        0.3878909595        1.0000000018
 86.5000        0.0754866014        0.0000324211        0.3878909595        1.0000000018
 87.0000        0.0732217963        0.0000351793        0.3878909595        1.0000000018
 87.5000        0.0709488158        0.0000382279        0.3878909595        1.0000000018
 88.0000        0.0686676725        0.0000416007        0.3878909595        1.0000000018
 88.5000        0.0663783797        0.0000453370        0.3878909595        1.0000000018
 89.0000        0.0640809515        0.0000494816        0.3878909595        1.0000000018
 89.5000        0.0617754026        0.0000540865        0.3878909594        1.0000000018
 90.0000        0.0594617483        0.0000592117        0.3878909594        1.0000000018
 90.5000        0.0571400048        0.0000649275        0.3878909594        1.0000000018
 91.0000        0.0548101891        0.0000713157        0.3878909594        1.0000000018
 91.5000        0.0524723188        0.0000784725        0.3878909593        1.0000000018
 92.0000        0.0501264125        0.0000865117        0.3878909593        1.0000000018
 92.5000        0.0477724898        0.0000955685        0.3878909593        1.0000000018
 93.0000        0.0454105709        0.0001058043        0.3878909593        1.0000000018
 93.5000        0.0430406773        0.0001174139        0.3878909592        1.0000000018
 94.0000        0.0406628313        0.0001306337        0.3878909592        1.0000000018
 94.5000        0.0382770564        0.0001457532        0.3878909592        1.0000000018
 95.0000        0.0358833773        0.0001631311        0.3878909592        1.0000000018
 95.5000        0.0334818196        0.0001832163        0.3878909591        1.0000000018
