       t         state 0 pop         state 1 pop         state 2 pop         state 3 pop         state 4 pop         state 5 pop         state 6 pop         state 7 pop         state 8 pop              poptot
  0.0000        0.0002765880        0.0002833635        0.0002926235        0.0003002571        0.0005732368        0.0005936657        0.0006220310        0.0006458125        0.9964124218        1.0000000000
  0.5000        0.0002850535        0.0002918476        0.0003012508        0.0003089122        0.0005919587        0.0006124951        0.0006413637        0.0006652770        0.9963018416        1.0000000000
  1.0000        0.0002934019        0.0003002118        0.0003097590        0.0003174456        0.0006108422        0.0006314669        0.0006608358        0.0006848618        0.9961911749        1.0000000000
  1.5000        0.0003013275        0.0003081576        0.0003178546        0.0003255710        0.0006295606        0.0006502643        0.0006801380        0.0007042682        0.9960828581        1.0000000000
  2.0000        0.0003085384        0.0003153997        0.0003252562        0.0003330137        0.0006477874        0.0006685715        0.0006989616        0.0007231982        0.9959792733        1.0000000000
  2.5000        0.0003147677        0.0003216762        0.0003317048        0.0003395200        0.0006652020        0.0006860782        0.0007170031        0.0007413595        0.9958826885        1.0000000000
  3.0000        0.0003197837        0.0003267582        0.0003369724        0.0003448653        0.0006814956        0.0007024851        0.0007339695        0.0007584694        0.9957952008        1.0000000000
  3.5000        0.0003233985        0.0003304582        0.0003408695        0.0003488611        0.0006963764        0.0007175093        0.0007495824        0.0007742589        0.9957186857        1.0000000000
  4.0000        0.0003254755        0.0003326365        0.0003432519        0.0003513613        0.0007095753        0.0007308880        0.0007635821        0.0007884764        0.9956547531        1.0000000000
  4.5000        0.0003259343        0.0003332065        0.0003440255        0.0003522664        0.0007208500        0.0007423838        0.0007757319        0.0008008913        0.9956047102        1.0000000000
  5.0000        0.0000000164        0.0000000168        0.0000000174        0.0000000180        0.0000000404        0.0000000422        0.0000000448        0.0000000470        0.9999997569        1.0000000000
  5.5000        0.0000001476        0.0000001515        0.0000001572        0.0000001618        0.0000003664        0.0000003824        0.0000004058        0.0000004258        0.9999978015        1.0000000000
  6.0000        0.0000004081        0.0000004189        0.0000004347        0.0000004474        0.0000010229        0.0000010668        0.0000011316        0.0000011868        0.9999938828        1.0000000000
  6.5000        0.0000007916        0.0000008126        0.0000008436        0.0000008683        0.0000020092        0.0000020945        0.0000022216        0.0000023288        0.9999880298        1.0000000000
  7.0000        0.0000000062        0.0000000064        0.0000000066        0.0000000068        0.0000000158        0.0000000164        0.0000000174        0.0000000182        0.9999999061        1.0000000000
  7.5000        0.0000001176        0.0000001204        0.0000001248        0.0000001282        0.0000002988        0.0000003108        0.0000003294        0.0000003448        0.9999982252        1.0000000000
  8.0000        0.0000003672        0.0000003759        0.0000003895        0.0000003999        0.0000009410        0.0000009783        0.0000010363        0.0000010840        0.9999944279        1.0000000000
  8.5000        0.0000007495        0.0000007673        0.0000007953        0.0000008166        0.0000019439        0.0000020197        0.0000021392        0.0000022364        0.9999885320        1.0000000000
  9.0000        0.0000012543        0.0000012845        0.0000013323        0.0000013685        0.0000033035        0.0000034310        0.0000036339        0.0000037976        0.9999805945        1.0000000000
  9.5000        0.0000018669        0.0000019132        0.0000019862        0.0000020415        0.0000050100        0.0000052022        0.0000055110        0.0000057582        0.9999707108        1.0000000000
