       t         state 0 pop         state 1 pop         state 2 pop         state 3 pop         state 4 pop         state 5 pop         state 6 pop         state 7 pop         state 8 pop              poptot
  0.0000        0.0001319070        0.0001364339        0.0001417539        0.0001468442        0.0002572052        0.0002696835        0.0002846397        0.0002992492        0.9983322833        1.0000000000
  0.5000        0.0001361030        0.0001407224        0.0001461718        0.0001513636        0.0002656567        0.0002784062        0.0002937427        0.0003086554        0.9982791782        1.0000000000
  1.0000        0.0001402039        0.0001449168        0.0001504975        0.0001557918        0.0002741108        0.0002871323        0.0003028533        0.0003180695        0.9982264242        1.0000000000
  1.5000        0.0001440319        0.0001488414        0.0001545568        0.0001599565        0.0002823811        0.0002956785        0.0003117904        0.0003273135        0.9981754500        1.0000000000
  2.0000        0.0001474206        0.0001523312        0.0001581852        0.0001636951        0.0002902843        0.0003038641        0.0003203752        0.0003362116        0.9981276327        1.0000000000
  2.5000        0.0001502219        0.0001552385        0.0001612350        0.0001668604        0.0002976441        0.0003115151        0.0003284349        0.0003445937        0.9980842565        1.0000000000
  3.0000        0.0001523128        0.0001574395        0.0001635807        0.0001693265        0.0003042950        0.0003184675        0.0003358060        0.0003522984        0.9980464737        1.0000000000
  3.5000        0.0001536009        0.0001588393        0.0001651245        0.0001709934        0.0003100865        0.0003245711        0.0003423378        0.0003591757        0.9980152708        1.0000000000
  4.0000        0.0001540285        0.0001593760        0.0001658001        0.0001717912        0.0003148862        0.0003296924        0.0003478947        0.0003650902        0.9979914408        1.0000000000
  4.5000        0.0001535751        0.0001590233        0.0001655751        0.0001716822        0.0003185826        0.0003337176        0.0003523597        0.0003699230        0.9979755613        1.0000000000
  5.0000        0.0001522588        0.0001577918        0.0001644528        0.0001706628        0.0003210882        0.0003365548        0.0003556360        0.0003735743        0.9979679804        1.0000000000
  5.5000        0.0001501350        0.0001557286        0.0001624717        0.0001687633        0.0003223411        0.0003381362        0.0003576492        0.0003759649        0.9979688099        1.0000000000
  6.0000        0.0001472946        0.0001529153        0.0001597042        0.0001660471        0.0003223065        0.0003384192        0.0003583487        0.0003770378        0.9979779268        1.0000000000
  6.5000        0.0001438600        0.0001494646        0.0001562537        0.0001626080        0.0003209774        0.0003373876        0.0003577084        0.0003767588        0.9979949815        1.0000000000
  7.0000        0.0001399798        0.0001455160        0.0001522508        0.0001585669        0.0003183752        0.0003350518        0.0003557279        0.0003751176        0.9980194140        1.0000000000
  7.5000        0.0001358227        0.0001412301        0.0001478478        0.0001540670        0.0003145490        0.0003314486        0.0003524315        0.0003721277        0.9980504756        1.0000000000
  8.0000        0.0001315700        0.0001367816        0.0001432133        0.0001492691        0.0003095746        0.0003266406        0.0003478685        0.0003678258        0.9980872564        1.0000000000
  8.5000        0.0001274083        0.0001323527        0.0001385252        0.0001443450        0.0003035532        0.0003207149        0.0003421122        0.0003622715        0.9981287171        1.0000000000
  9.0000        0.0001235211        0.0001281257        0.0001339641        0.0001394715        0.0002966088        0.0003137812        0.0003352579        0.0003555463        0.9981737233        1.0000000000
  9.5000        0.0001200814        0.0001242753        0.0001297064        0.0001348242        0.0002888864        0.0003059699        0.0003274220        0.0003477518        0.9982210825        1.0000000000
 10.0000        0.0000000237        0.0000000245        0.0000000255        0.0000000263        0.0000000524        0.0000000550        0.0000000583        0.0000000613        0.9999996731        1.0000000000
 10.5000        0.0000001197        0.0000001235        0.0000001284        0.0000001328        0.0000002661        0.0000002790        0.0000002957        0.0000003112        0.9999983435        1.0000000000
 11.0000        0.0000002867        0.0000002959        0.0000003077        0.0000003182        0.0000006437        0.0000006747        0.0000007153        0.0000007527        0.9999960050        1.0000000000
 11.5000        0.0000005189        0.0000005359        0.0000005578        0.0000005772        0.0000011811        0.0000012382        0.0000013131        0.0000013818        0.9999926960        1.0000000000
 12.0000        0.0000008079        0.0000008352        0.0000008703        0.0000009013        0.0000018711        0.0000019621        0.0000020821        0.0000021916        0.9999884786        1.0000000000
 12.5000        0.0000011428        0.0000011829        0.0000012344        0.0000012801        0.0000027030        0.0000028363        0.0000030120        0.0000031720        0.9999834364        1.0000000000
 13.0000        0.0000015107        0.0000015665        0.0000016377        0.0000017011        0.0000036637        0.0000038474        0.0000040900        0.0000043104        0.9999776725        1.0000000000
 13.5000        0.0000018974        0.0000019717        0.0000020659        0.0000021501        0.0000047368        0.0000049798        0.0000053004        0.0000055914        0.9999713064        1.0000000000
 14.0000        0.0000022878        0.0000023834        0.0000025039        0.0000026121        0.0000059041        0.0000062152        0.0000066253        0.0000069973        0.9999644708        1.0000000000
 14.5000        0.0000026666        0.0000027863        0.0000029361        0.0000030715        0.0000071451        0.0000075335        0.0000080447        0.0000085085        0.9999573078        1.0000000000
 15.0000        0.0000030186        0.0000031652        0.0000033471        0.0000035128        0.0000084378        0.0000089128        0.0000095368        0.0000101034        0.9999499655        1.0000000000
 15.5000        0.0000033300        0.0000035057        0.0000037222        0.0000039211        0.0000097589        0.0000103303        0.0000110787        0.0000117593        0.9999425937        1.0000000000
 16.0000        0.0000035884        0.0000037951        0.0000040480        0.0000042824        0.0000110846        0.0000117620        0.0000126464        0.0000134525        0.9999353405        1.0000000000
 16.5000        0.0000037833        0.0000040224        0.0000043129        0.0000045846        0.0000123908        0.0000131837        0.0000142154        0.0000151585        0.9999283483        1.0000000000
 17.0000        0.0000039070        0.0000041789        0.0000045072        0.0000048175        0.0000136534        0.0000145714        0.0000157613        0.0000168527        0.9999217507        1.0000000000
 17.5000        0.0000039544        0.0000042586        0.0000046240        0.0000049730        0.0000148493        0.0000159013        0.0000172597        0.0000185107        0.9999156689        1.0000000000
 18.0000        0.0000039235        0.0000042585        0.0000046592        0.0000050461        0.0000159565        0.0000171509        0.0000186871        0.0000201084        0.9999102098        1.0000000000
 18.5000        0.0000038153        0.0000041784        0.0000046113        0.0000050342        0.0000169544        0.0000182988        0.0000200211        0.0000216230        0.9999054635        1.0000000000
 19.0000        0.0000036341        0.0000040214        0.0000044821        0.0000049377        0.0000178245        0.0000193254        0.0000212409        0.0000230325        0.9999015014        1.0000000000
 19.5000        0.0000033869        0.0000037933        0.0000042762        0.0000047601        0.0000185506        0.0000202132        0.0000223273        0.0000243168        0.9998983756        1.0000000000
 20.0000        0.0000030836        0.0000035027        0.0000040009        0.0000045073        0.0000191192        0.0000209471        0.0000232634        0.0000254577        0.9998961181        1.0000000000
 20.5000        0.0000027362        0.0000031606        0.0000036662        0.0000041880        0.0000195197        0.0000215145        0.0000240347        0.0000264390        0.9998947412        1.0000000000
 21.0000        0.0000023586        0.0000027799        0.0000032841        0.0000038131        0.0000197445        0.0000219059        0.0000246293        0.0000272470        0.9998942377        1.0000000000
 21.5000        0.0000019660        0.0000023751        0.0000028682        0.0000033953        0.0000197895        0.0000221149        0.0000250382        0.0000278707        0.9998945821        1.0000000000
 22.0000        0.0000015743        0.0000019618        0.0000024338        0.0000029490        0.0000196538        0.0000221380        0.0000252555        0.0000283017        0.9998957321        1.0000000000
 22.5000        0.0000011996        0.0000015559        0.0000019966        0.0000024895        0.0000193401        0.0000219751        0.0000252782        0.0000285345        0.9998976305        1.0000000000
 23.0000        0.0000008574        0.0000011731        0.0000015726        0.0000020325        0.0000188541        0.0000216295        0.0000251066        0.0000285668        0.9999002074        1.0000000000
 23.5000        0.0000005621        0.0000008287        0.0000011774        0.0000015940        0.0000182053        0.0000211075        0.0000247440        0.0000283990        0.9999033821        1.0000000000
 24.0000        0.0000003266        0.0000005363        0.0000008258        0.0000011892        0.0000174059        0.0000204187        0.0000241970        0.0000280346        0.9999070660        1.0000000000
 24.5000        0.0000001617        0.0000003081        0.0000005313        0.0000008324        0.0000164713        0.0000195753        0.0000234751        0.0000274801        0.9999111649        1.0000000000
 25.0000        0.0000000753        0.0000001539        0.0000003055        0.0000005365        0.0000154194        0.0000185928        0.0000225905        0.0000267448        0.9999155812        1.0000000000
 25.5000        0.0000000730        0.0000000813        0.0000001577        0.0000003126        0.0000142709        0.0000174889        0.0000215584        0.0000258407        0.9999202166        1.0000000000
 26.0000        0.0000001570        0.0000000947        0.0000000948        0.0000001693        0.0000130480        0.0000162836        0.0000203962        0.0000247823        0.9999249739        1.0000000000
 26.5000        0.0000003265        0.0000001958        0.0000001209        0.0000001132        0.0000117751        0.0000149990        0.0000191238        0.0000235866        0.9999297592        1.0000000000
 27.0000        0.0000005774        0.0000003832        0.0000002372        0.0000001478        0.0000104775        0.0000136587        0.0000177627        0.0000222725        0.9999344829        1.0000000000
 27.5000        0.0000009029        0.0000006525        0.0000004421        0.0000002741        0.0000091817        0.0000122876        0.0000163363        0.0000208610        0.9999390618        1.0000000000
 28.0000        0.0000012933        0.0000009966        0.0000007308        0.0000004901        0.0000079145        0.0000109115        0.0000148691        0.0000193745        0.9999434195        1.0000000000
 28.5000        0.0000017364        0.0000014057        0.0000010962        0.0000007913        0.0000067028        0.0000095567        0.0000133868        0.0000178368        0.9999474873        1.0000000000
 29.0000        0.0000022183        0.0000018677        0.0000015283        0.0000011702        0.0000055730        0.0000082496        0.0000119155        0.0000162727        0.9999512046        1.0000000000
