       t         state 0 pop         state 1 pop         state 2 pop         state 3 pop         state 4 pop         state 5 pop         state 6 pop         state 7 pop         state 8 pop              poptot
  0.0000        1.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        1.0000000000
  0.5000        0.9999595763        0.0000050572        0.0000050568        0.0000050563        0.0000050558        0.0000050505        0.0000050498        0.0000050490        0.0000050483        1.0000000000
  1.0000        0.9998360602        0.0000205615        0.0000205543        0.0000205467        0.0000205387        0.0000204520        0.0000204407        0.0000204290        0.0000204170        1.0000000001
  1.5000        0.9996273744        0.0000469317        0.0000468944        0.0000468554        0.0000468147        0.0000463708        0.0000463130        0.0000462535        0.0000461923        1.0000000002
  2.0000        0.9993332204        0.0000844737        0.0000843546        0.0000842300        0.0000840999        0.0000826860        0.0000825024        0.0000823136        0.0000821196        1.0000000003
  2.5000        0.9989551112        0.0001333757        0.0001330819        0.0001327748        0.0001324543        0.0001289857        0.0001285372        0.0001280763        0.0001276034        1.0000000004
  3.0000        0.9984963569        0.0001937031        0.0001930888        0.0001924470        0.0001917780        0.0001845716        0.0001836444        0.0001826930        0.0001817179        1.0000000006
  3.5000        0.9979620024        0.0002653962        0.0002642506        0.0002630549        0.0002618094        0.0002484717        0.0002467662        0.0002450189        0.0002432305        1.0000000008
  4.0000        0.9973587183        0.0003482694        0.0003463055        0.0003442575        0.0003421268        0.0003194619        0.0003165846        0.0003136418        0.0003106351        1.0000000010
  4.5000        0.9968097407        0.0006454608        0.0005862395        0.0005348101        0.0004898632        0.0002548285        0.0002397481        0.0002259678        0.0002133425        1.0000000012
  5.0000        0.9968079045        0.0006457001        0.0005864769        0.0005350457        0.0004900972        0.0002550523        0.0002399710        0.0002261899        0.0002135639        1.0000000014
  5.5000        0.9968022839        0.0006464347        0.0005872053        0.0005357685        0.0004908148        0.0002557358        0.0002406516        0.0002268678        0.0002142391        1.0000000016
  6.0000        0.9967907271        0.0006479522        0.0005887093        0.0005372600        0.0004922947        0.0002571369        0.0002420459        0.0002282554        0.0002156202        1.0000000017
  6.5000        0.9967710990        0.0006505456        0.0005912778        0.0005398054        0.0004948184        0.0002595072        0.0002444019        0.0002305976        0.0002179488        1.0000000019
  7.0000        0.9967413250        0.0006545103        0.0005952012        0.0005436899        0.0004986663        0.0002630845        0.0002479531        0.0002341229        0.0002214488        1.0000000020
  7.5000        0.9966994333        0.0006601409        0.0006007674        0.0005491951        0.0005041135        0.0002680867        0.0002529106        0.0002390363        0.0002263183        1.0000000021
  8.0000        0.9966435945        0.0006677283        0.0006082590        0.0005565955        0.0005114262        0.0002747055        0.0002594577        0.0002455121        0.0002327232        1.0000000021
  8.5000        0.9965721582        0.0006775565        0.0006179499        0.0005661545        0.0005208579        0.0002831008        0.0002677436        0.0002536891        0.0002407915        1.0000000021
  9.0000        0.9964836850        0.0006898995        0.0006301017        0.0005781216        0.0005326456        0.0002933962        0.0002778792        0.0002636651        0.0002506083        1.0000000021
  9.5000        0.9963769729        0.0007050187        0.0006449612        0.0005927288        0.0005470066        0.0003056749        0.0002899327        0.0002754938        0.0002622124        1.0000000021
 10.0000        0.9962510787        0.0007231600        0.0006627572        0.0006101879        0.0005641355        0.0003199774        0.0003039280        0.0002891824        0.0002755948        1.0000000020
 10.5000        0.9961053326        0.0007445516        0.0006836981        0.0006306875        0.0005842013        0.0003362995        0.0003198427        0.0003046908        0.0002906979        1.0000000019
 11.0000        0.9959393464        0.0007694012        0.0007079694        0.0006543909        0.0006073450        0.0003545920        0.0003376083        0.0003219318        0.0003074167        1.0000000018
 11.5000        0.9957530154        0.0007978944        0.0007357319        0.0006814341        0.0006336779        0.0003747613        0.0003571117        0.0003407736        0.0003256014        1.0000000016
 12.0000        0.9955465131        0.0008301929        0.0007671195        0.0007119236        0.0006632797        0.0003966715        0.0003781976        0.0003610424        0.0003450613        1.0000000015
 12.5000        0.9953202801        0.0008664327        0.0008022381        0.0007459358        0.0006961976        0.0004201473        0.0004006720        0.0003825275        0.0003655702        1.0000000013
 13.0000        0.9950750070        0.0009067230        0.0008411648        0.0007835158        0.0007324457        0.0004449781        0.0004243074        0.0004049865        0.0003868729        1.0000000012
 13.5000        0.9948116119        0.0009511455        0.0008839464        0.0008246770        0.0007720046        0.0004709228        0.0004488486        0.0004281519        0.0004086923        1.0000000010
 14.0000        0.9945312129        0.0009997537        0.0009305998        0.0008694007        0.0008148220        0.0004977160        0.0004740188        0.0004517389        0.0004307381        1.0000000008
 14.5000        0.9942350976        0.0010525725        0.0009811118        0.0009176371        0.0008608131        0.0005250740        0.0004995272        0.0004754526        0.0004527147        1.0000000007
 15.0000        0.9939246886        0.0011095985        0.0010354390        0.0009693055        0.0009098622        0.0005527022        0.0005250768        0.0004989971        0.0004743306        1.0000000006
 15.5000        0.9936015077        0.0011708001        0.0010935095        0.0010242957        0.0009618239        0.0005803020        0.0005503718        0.0005220830        0.0004953069        1.0000000005
 16.0000        0.9929936750        0.0014592535        0.0013138129        0.0011890805        0.0010813037        0.0005381107        0.0005045453        0.0004740254        0.0004461935        1.0000000004
 16.5000        0.9929904470        0.0014596882        0.0013142412        0.0011895030        0.0010817209        0.0005384955        0.0005049277        0.0004744054        0.0004465713        1.0000000003
 17.0000        0.9929811562        0.0014609433        0.0013154773        0.0011907219        0.0010829241        0.0005396011        0.0005060255        0.0004754960        0.0004476548        1.0000000003
 17.5000        0.9929625759        0.0014634644        0.0013179591        0.0011931679        0.0010853373        0.0005418056        0.0005082129        0.0004776670        0.0004498102        1.0000000003
 18.0000        0.9929315249        0.0014677023        0.0013221282        0.0011972740        0.0010893856        0.0005454751        0.0005118501        0.0004812733        0.0004533867        1.0000000003
 18.5000        0.9928849219        0.0014741092        0.0013284259        0.0012034715        0.0010954905        0.0005509551        0.0005172750        0.0004866448        0.0004587064        1.0000000003
 19.0000        0.9928198373        0.0014831346        0.0013372892        0.0012121850        0.0011040647        0.0005585622        0.0005247940        0.0004940779        0.0004660556        1.0000000003
 19.5000        0.9927335418        0.0014952220        0.0013491465        0.0012238284        0.0011155079        0.0005685768        0.0005346744        0.0005038269        0.0004756757        1.0000000004
 20.0000        0.9926235499        0.0015108054        0.0013644139        0.0012388005        0.0011302021        0.0005812362        0.0005471378        0.0005160978        0.0004877570        1.0000000005
 20.5000        0.9924876571        0.0015303053        0.0013834914        0.0012574812        0.0011485075        0.0005967291        0.0005623544        0.0005310421        0.0005024325        1.0000000006
 21.0000        0.9923239718        0.0015541260        0.0014067597        0.0012802279        0.0011707585        0.0006151912        0.0005804384        0.0005487528        0.0005197743        1.0000000007
 21.5000        0.9921309390        0.0015826524        0.0014345768        0.0013073721        0.0011972602        0.0006367019        0.0006014453        0.0005692620        0.0005397911        1.0000000008
 22.0000        0.9919073576        0.0016162474        0.0014672751        0.0013392162        0.0012282856        0.0006612822        0.0006253702        0.0005925391        0.0005624277        1.0000000009
 22.5000        0.9916523894        0.0016552490        0.0015051588        0.0013760311        0.0012640724        0.0006888943        0.0006521477        0.0006184923        0.0005875662        1.0000000011
 23.0000        0.9913655609        0.0016999686        0.0015485019        0.0014180537        0.0013048214        0.0007194423        0.0006816536        0.0006469698        0.0006150290        1.0000000012
 23.5000        0.9910467575        0.0017506889        0.0015975459        0.0014654854        0.0013506943        0.0007527744        0.0007137073        0.0006777643        0.0006445834        1.0000000013
 24.0000        0.9906962106        0.0018076622        0.0016524986        0.0015184903        0.0014018125        0.0007886858        0.0007480764        0.0007106176        0.0006759476        1.0000000014
 24.5000        0.9903144779        0.0018711093        0.0017135330        0.0015771945        0.0014582567        0.0008269236        0.0007844818        0.0007452269        0.0007087979        1.0000000015
 25.0000        0.9899024181        0.0019412186        0.0017807861        0.0016416855        0.0015200662        0.0008671925        0.0008226043        0.0007812527        0.0007427776        1.0000000016
 25.5000        0.9894611598        0.0020181454        0.0018543592        0.0017120121        0.0015872397        0.0009091606        0.0008620922        0.0008183267        0.0007775060        1.0000000017
 26.0000        0.9889920668        0.0021020118        0.0019343172        0.0017881847        0.0016597353        0.0009524672        0.0009025690        0.0008560613        0.0008125883        1.0000000017
