       t   Mean-Field Energy       PE Difference        Total Energy                norm
  0.0000        0.1885470773        0.0005890641        0.2506516787        1.0000000000
  0.5000        0.1879842158        0.0006133567        0.2506516781        1.0000000000
  1.0000        0.1874133717        0.0006377393        0.2506516774        1.0000000000
  1.5000        0.1868350318        0.0006617330        0.2506516768        1.0000000001
  2.0000        0.1862496734        0.0006848689        0.2506516763        1.0000000001
  2.5000        0.1856577542        0.0007066985        0.2506516757        1.0000000002
  3.0000        0.1850597025        0.0007268037        0.2506516753        1.0000000003
  3.5000        0.1844559082        0.0007448057        0.2506516748        1.0000000004
  4.0000        0.1838467147        0.0007603724        0.2506516745        1.0000000005
  4.5000        0.1840081867        0.0000001897        0.2506516744        1.0000000006
  5.0000        0.1834015699        0.0000009606        0.2506516744        1.0000000007
  5.5000        0.1827865535        0.0000023185        0.2506516744        1.0000000008
  6.0000        0.1821631617        0.0000042471        0.2506516743        1.0000000009
  6.5000        0.1815314287        0.0000067203        0.2506516743        1.0000000009
  7.0000        0.1808913983        0.0000097030        0.2506516742        1.0000000010
  7.5000        0.1802431226        0.0000131518        0.2506516741        1.0000000010
  8.0000        0.1795866615        0.0000170160        0.2506516740        1.0000000011
  8.5000        0.1789220815        0.0000212386        0.2506516740        1.0000000011
  9.0000        0.1782494544        0.0000257578        0.2506516739        1.0000000011
  9.5000        0.1775688558        0.0000305080        0.2506516738        1.0000000010
 10.0000        0.1768803645        0.0000354212        0.2506516737        1.0000000010
 10.5000        0.1761840604        0.0000404287        0.2506516736        1.0000000009
 11.0000        0.1754800235        0.0000454618        0.2506516735        1.0000000009
 11.5000        0.1747683326        0.0000504538        0.2506516734        1.0000000008
 12.0000        0.1740490641        0.0000553405        0.2506516733        1.0000000007
 12.5000        0.1733222911        0.0000600620        0.2506516732        1.0000000007
 13.0000        0.1725880818        0.0000645631        0.2506516731        1.0000000006
 13.5000        0.1718464995        0.0000687945        0.2506516731        1.0000000005
 14.0000        0.1710976012        0.0000727133        0.2506516730        1.0000000004
 14.5000        0.1703414376        0.0000762836        0.2506516729        1.0000000004
 15.0000        0.1695780523        0.0000794769        0.2506516729        1.0000000003
 15.5000        0.1688074820        0.0000822720        0.2506516729        1.0000000002
 16.0000        0.1681144400        0.0000003232        0.2506516729        1.0000000002
 16.5000        0.1673308181        0.0000014439        0.2506516728        1.0000000002
 17.0000        0.1665388628        0.0000033628        0.2506516728        1.0000000001
 17.5000        0.1657386034        0.0000060656        0.2506516728        1.0000000001
 18.0000        0.1649300809        0.0000095263        0.2506516727        1.0000000001
 18.5000        0.1641133474        0.0000137085        0.2506516726        1.0000000001
 19.0000        0.1632884654        0.0000185660        0.2506516725        1.0000000002
 19.5000        0.1624555069        0.0000240439        0.2506516724        1.0000000002
 20.0000        0.1616145521        0.0000300795        0.2506516723        1.0000000002
 20.5000        0.1607656882        0.0000366036        0.2506516722        1.0000000003
 21.0000        0.1599090086        0.0000435421        0.2506516721        1.0000000004
 21.5000        0.1590446107        0.0000508171        0.2506516720        1.0000000004
 22.0000        0.1581725952        0.0000583484        0.2506516718        1.0000000005
 22.5000        0.1572930646        0.0000660546        0.2506516717        1.0000000005
 23.0000        0.1564061217        0.0000738552        0.2506516716        1.0000000006
 23.5000        0.1555118683        0.0000816712        0.2506516715        1.0000000006
 24.0000        0.1546104042        0.0000894266        0.2506516713        1.0000000007
 24.5000        0.1537018258        0.0000970497        0.2506516712        1.0000000008
 25.0000        0.1527862254        0.0001044736        0.2506516711        1.0000000008
 25.5000        0.1518636903        0.0001116377        0.2506516710        1.0000000008
 26.0000        0.1509343017        0.0001184879        0.2506516709        1.0000000009
 26.5000        0.1499981348        0.0001249775        0.2506516709        1.0000000009
 27.0000        0.1490552580        0.0001310673        0.2506516708        1.0000000009
 27.5000        0.1482426128        0.0000000959        0.2506516707        1.0000000009
 28.0000        0.1472912439        0.0000011810        0.2506516707        1.0000000009
 28.5000        0.1463316469        0.0000034837        0.2506516707        1.0000000009
 29.0000        0.1453638503        0.0000070043        0.2506516706        1.0000000009
 29.5000        0.1443878969        0.0000117293        0.2506516706        1.0000000009
 30.0000        0.1434038439        0.0000176323        0.2506516705        1.0000000008
 30.5000        0.1424117622        0.0000246742        0.2506516704        1.0000000008
 31.0000        0.1414117355        0.0000328046        0.2506516703        1.0000000008
 31.5000        0.1404038590        0.0000419622        0.2506516701        1.0000000007
