       t   Mean-Field Energy       PE Difference        Total Energy                norm
  0.0000        0.2593034649        0.0005503446        0.3025338478        1.0000000000
  0.5000        0.2586414817        0.0005637887        0.3025338472        1.0000000000
  1.0000        0.2585493242        0.0000000039        0.3025338467        1.0000000001
  1.5000        0.2578884165        0.0000001396        0.3025338467        1.0000000003
  2.0000        0.2572190717        0.0000004669        0.3025338467        1.0000000005
  2.5000        0.2565413001        0.0000009781        0.3025338467        1.0000000008
  3.0000        0.2558551171        0.0000016601        0.3025338467        1.0000000010
  3.5000        0.2551605437        0.0000024946        0.3025338466        1.0000000013
  4.0000        0.2544576050        0.0000034590        0.3025338466        1.0000000015
  4.5000        0.2537463302        0.0000045271        0.3025338466        1.0000000017
  5.0000        0.2530267511        0.0000056697        0.3025338465        1.0000000019
  5.5000        0.2522989015        0.0000068561        0.3025338465        1.0000000020
  6.0000        0.2515628160        0.0000080549        0.3025338464        1.0000000020
  6.5000        0.2508185293        0.0000092345        0.3025338464        1.0000000020
  7.0000        0.2500660749        0.0000103650        0.3025338464        1.0000000020
  7.5000        0.2493054844        0.0000114183        0.3025338463        1.0000000018
  8.0000        0.2485367864        0.0000123693        0.3025338463        1.0000000017
  8.5000        0.2477600062        0.0000131965        0.3025338463        1.0000000014
  9.0000        0.2469751651        0.0000138826        0.3025338462        1.0000000012
  9.5000        0.2461822799        0.0000144149        0.3025338462        1.0000000010
 10.0000        0.2453813628        0.0000147852        0.3025338462        1.0000000008
 10.5000        0.2445724210        0.0000149905        0.3025338462        1.0000000006
 11.0000        0.2437554575        0.0000150322        0.3025338462        1.0000000004
 11.5000        0.2429304705        0.0000149165        0.3025338462        1.0000000003
 12.0000        0.2420974545        0.0000146534        0.3025338462        1.0000000002
 12.5000        0.2412564003        0.0000142567        0.3025338463        1.0000000001
 13.0000        0.2404072958        0.0000137431        0.3025338463        1.0000000002
 13.5000        0.2395501267        0.0000131317        0.3025338463        1.0000000002
 14.0000        0.2386877560        0.0000095813        0.3025338463        1.0000000004
 14.5000        0.2378139472        0.0000093195        0.3025338463        1.0000000005
 15.0000        0.2369319423        0.0000091048        0.3025338463        1.0000000007
 15.5000        0.2360417420        0.0000089413        0.3025338463        1.0000000009
 16.0000        0.2351433497        0.0000088304        0.3025338463        1.0000000011
 16.5000        0.2342367713        0.0000087714        0.3025338463        1.0000000013
 17.0000        0.2333220150        0.0000087611        0.3025338463        1.0000000015
 17.5000        0.2323990913        0.0000087944        0.3025338463        1.0000000016
 18.0000        0.2314680121        0.0000088647        0.3025338462        1.0000000018
 18.5000        0.2305287908        0.0000089643        0.3025338462        1.0000000018
 19.0000        0.2295814412        0.0000090848        0.3025338462        1.0000000019
 19.5000        0.2286259778        0.0000092180        0.3025338462        1.0000000019
 20.0000        0.2276624145        0.0000093556        0.3025338462        1.0000000018
