       t         state 0 pop         state 1 pop         state 2 pop         state 3 pop         state 4 pop         state 5 pop         state 6 pop         state 7 pop         state 8 pop              poptot
  0.0000        1.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        1.0000000000
  0.5000        0.9999535744        0.0000058093        0.0000058086        0.0000058079        0.0000058072        0.0000057996        0.0000057987        0.0000057977        0.0000057967        1.0000000001
  1.0000        0.9998131062        0.0000234594        0.0000234486        0.0000234374        0.0000234258        0.0000233042        0.0000232888        0.0000232730        0.0000232568        1.0000000002
  1.5000        0.9995790158        0.0000531193        0.0000530642        0.0000530071        0.0000529481        0.0000523305        0.0000522524        0.0000521724        0.0000520906        1.0000000005
  2.0000        0.9992546782        0.0000947327        0.0000945579        0.0000943769        0.0000941899        0.0000922404        0.0000919948        0.0000917435        0.0000914866        1.0000000009
  2.5000        0.9988463462        0.0001480160        0.0001475885        0.0001471465        0.0001466901        0.0001419563        0.0001413630        0.0001407569        0.0001401379        1.0000000013
  3.0000        0.9983629703        0.0002124595        0.0002115742        0.0002106599        0.0002097168        0.0001999953        0.0001987849        0.0001975500        0.0001962910        1.0000000017
  3.5000        0.9978159198        0.0002873341        0.0002857007        0.0002840157        0.0002822800        0.0002645192        0.0002623252        0.0002600907        0.0002578167        1.0000000022
  4.0000        0.9972186163        0.0003717021        0.0003689343        0.0003660833        0.0003631507        0.0003334002        0.0003297586        0.0003260576        0.0003222995        1.0000000026
  4.5000        0.9965860917        0.0004644319        0.0004600404        0.0004555239        0.0004508860        0.0004042982        0.0003986556        0.0003929350        0.0003871404        1.0000000030
  5.0000        0.9959344893        0.0005642174        0.0005576052        0.0005508171        0.0005438597        0.0004747483        0.0004664782        0.0004581167        0.0004496714        1.0000000033
  5.5000        0.9952805248        0.0006696003        0.0006600628        0.0006502916        0.0006402977        0.0005422547        0.0005306813        0.0005190168        0.0005072735        1.0000000036
  6.0000        0.9946409286        0.0007789960        0.0007657249        0.0007521591        0.0007383168        0.0006043864        0.0005888168        0.0005731801        0.0005574951        1.0000000037
  6.5000        0.9940318902        0.0008907221        0.0008728133        0.0008545522        0.0008359669        0.0006588721        0.0006386340        0.0006183888        0.0005981642        1.0000000037
  7.0000        0.9934685253        0.0010030287        0.0009794949        0.0009555631        0.0009312754        0.0007036907        0.0006781741        0.0006527611        0.0006274902        1.0000000037
  7.5000        0.9929643855        0.0011141309        0.0010839179        0.0010532846        0.0010222921        0.0007371525        0.0007058541        0.0006748361        0.0006441498        1.0000000035
  8.0000        0.9925310283        0.0012222412        0.0011842485        0.0011458509        0.0011071337        0.0007579691        0.0007205363        0.0006836425        0.0006473528        1.0000000032
  8.5000        0.9921776632        0.0013256031        0.0012787078        0.0012314775        0.0011840281        0.0007653089        0.0007215809        0.0006787472        0.0006368863        1.0000000029
  9.0000        0.9919108860        0.0014225239        0.0013656077        0.0013085006        0.0012513556        0.0007588352        0.0007088792        0.0006602817        0.0006131325        1.0000000025
  9.5000        0.9917345098        0.0015114060        0.0014433851        0.0013754131        0.0013076872        0.0007387266        0.0006828663        0.0006289459        0.0005770622        1.0000000021
 10.0000        0.9970961364        0.0005438996        0.0005045592        0.0004693378        0.0004376799        0.0002555006        0.0002426128        0.0002306762        0.0002195993        1.0000000017
 10.5000        0.9970943819        0.0005441277        0.0005047857        0.0004695628        0.0004379034        0.0002557146        0.0002428259        0.0002308885        0.0002198109        1.0000000013
 11.0000        0.9970890532        0.0005448232        0.0005054759        0.0004702481        0.0004385841        0.0002563629        0.0002434714        0.0002315312        0.0002204510        1.0000000009
 11.5000        0.9970781955        0.0005462483        0.0005068894        0.0004716506        0.0004399761        0.0002576793        0.0002447808        0.0002328338        0.0002217468        1.0000000006
 12.0000        0.9970599466        0.0005486620        0.0005092812        0.0004740215        0.0004423273        0.0002598810        0.0002469680        0.0002350068        0.0002239059        1.0000000004
 12.5000        0.9970325909        0.0005523148        0.0005128969        0.0004776019        0.0004458735        0.0002631609        0.0002502212        0.0002382336        0.0002271066        1.0000000003
 13.0000        0.9969946084        0.0005574451        0.0005179686        0.0004826169        0.0004508338        0.0002676801        0.0002546948        0.0002426621        0.0002314904        1.0000000002
 13.5000        0.9969447182        0.0005642748        0.0005247098        0.0004892722        0.0004574054        0.0002735617        0.0002605038        0.0002483989        0.0002371554        1.0000000003
 14.0000        0.9968819134        0.0005730055        0.0005333120        0.0004977491        0.0004657598        0.0002808861        0.0002677185        0.0002555042        0.0002441518        1.0000000004
 14.5000        0.9968054878        0.0005838149        0.0005439409        0.0005082012        0.0004760384        0.0002896876        0.0002763614        0.0002639891        0.0002524793        1.0000000006
 15.0000        0.9967150524        0.0005968539        0.0005567333        0.0005207514        0.0004883500        0.0002999528        0.0002864061        0.0002738146        0.0002620864        1.0000000009
 15.5000        0.9966105420        0.0006122441        0.0005717946        0.0005354890        0.0005027680        0.0003116203        0.0002977781        0.0002848927        0.0002728725        1.0000000012
 16.0000        0.9964922122        0.0006300755        0.0005891970        0.0005524682        0.0005193292        0.0003245830        0.0003103563        0.0002970894        0.0002846908        1.0000000016
 16.5000        0.9963606257        0.0006504053        0.0006089777        0.0005717069        0.0005380323        0.0003386915        0.0003239780        0.0003102296        0.0002973548        1.0000000019
 17.0000        0.9962166298        0.0006732568        0.0006311388        0.0005931865        0.0005588384        0.0003537586        0.0003384444        0.0003241037        0.0003106454        1.0000000023
 17.5000        0.9960613257        0.0006986190        0.0006556468        0.0006168516        0.0005816714        0.0003695660        0.0003535275        0.0003384754        0.0003243191        1.0000000026
 18.0000        0.9958960303        0.0007264470        0.0006824336        0.0006426120        0.0006064197        0.0003858720        0.0003689787        0.0003530908        0.0003381188        1.0000000029
 18.5000        0.9957222328        0.0007566627        0.0007113975        0.0006703436        0.0006329383        0.0004024192        0.0003845374        0.0003676884        0.0003517833        1.0000000032
 19.0000        0.9955415466        0.0007891564        0.0007424051        0.0006998911        0.0006610520        0.0004189440        0.0003999412        0.0003820086        0.0003650585        1.0000000034
