       t         state 0 pop         state 1 pop         state 2 pop         state 3 pop         state 4 pop         state 5 pop         state 6 pop         state 7 pop         state 8 pop              poptot
  0.0000        0.0002413923        0.0002484351        0.0002574843        0.0002654257        0.0005070906        0.0005287926        0.0005572263        0.0005827003        0.9968114529        1.0000000000
  0.5000        0.0002481158        0.0002552128        0.0002644041        0.0002724064        0.0005217857        0.0005436824        0.0005725904        0.0005982754        0.9967235270        1.0000000000
  1.0000        0.0002547286        0.0002618788        0.0002712132        0.0002792753        0.0005365476        0.0005586284        0.0005880095        0.0006138938        0.9966358248        1.0000000000
  1.5000        0.0002609937        0.0002682011        0.0002776832        0.0002858091        0.0005511278        0.0005733894        0.0006032476        0.0006293270        0.9965502211        1.0000000000
  2.0000        0.0002666857        0.0002739586        0.0002835958        0.0002917941        0.0005652792        0.0005877254        0.0006180700        0.0006443484        0.9964685427        1.0000000000
  2.5000        0.0002715989        0.0002789489        0.0002887504        0.0002970330        0.0005787600        0.0006014018        0.0006322471        0.0006587355        0.9963925245        1.0000000000
  3.0000        0.0002755551        0.0002829954        0.0002929702        0.0003013512        0.0005913383        0.0006141931        0.0006455570        0.0006722739        0.9963237658        1.0000000000
  3.5000        0.0002784104        0.0002859534        0.0002961091        0.0003046025        0.0006027959        0.0006258863        0.0006577900        0.0006847597        0.9962636927        1.0000000000
  4.0000        0.0002800606        0.0002877157        0.0002980556        0.0003066734        0.0006129324        0.0006362848        0.0006687507        0.0006960027        0.9962135241        1.0000000000
  4.5000        0.0002804450        0.0002882161        0.0002987375        0.0003074867        0.0006215686        0.0006452113        0.0006782618        0.0007058287        0.9961742443        1.0000000000
  5.0000        0.0002795491        0.0002874320        0.0002981235        0.0003070044        0.0006285499        0.0006525110        0.0006861660        0.0007140821        0.9961465821        1.0000000000
  5.5000        0.0002774052        0.0002853852        0.0002962249        0.0003052284        0.0006337487        0.0006580539        0.0006923290        0.0007206279        0.9961309968        1.0000000000
  6.0000        0.0002740914        0.0002821413        0.0002930952        0.0003022005        0.0006370672        0.0006617369        0.0006966413        0.0007253536        0.9961276727        1.0000000000
  6.5000        0.0002697290        0.0002778075        0.0002888281        0.0002980014        0.0006384387        0.0006634857        0.0006990195        0.0007281708        0.9961365194        1.0000000000
