       t   Mean-Field Energy       PE Difference        Total Energy                norm
  0.0000        0.2199226558        0.0010627316        0.2929403831        1.0000000000
  0.5000        0.2191399085        0.0010923049        0.2929403821        1.0000000000
  1.0000        0.2183494774        0.0011216278        0.2929403811        1.0000000001
  1.5000        0.2175521408        0.0011499313        0.2929403802        1.0000000002
  2.0000        0.2167486496        0.0011764752        0.2929403793        1.0000000003
  2.5000        0.2159397081        0.0012005675        0.2929403785        1.0000000004
  3.0000        0.2151259549        0.0012215830        0.2929403778        1.0000000006
  3.5000        0.2143079469        0.0012389798        0.2929403773        1.0000000007
  4.0000        0.2134861455        0.0012523123        0.2929403768        1.0000000009
  4.5000        0.2126609060        0.0012612421        0.2929403765        1.0000000010
  5.0000        0.2131011825        0.0000000687        0.2929403764        1.0000000011
  5.5000        0.2122751387        0.0000006194        0.2929403764        1.0000000013
  6.0000        0.2114407168        0.0000017165        0.2929403764        1.0000000013
  6.5000        0.2105979415        0.0000033444        0.2929403764        1.0000000014
  7.0000        0.2097523062        0.0000000262        0.2929403763        1.0000000014
  7.5000        0.2088951025        0.0000004925        0.2929403763        1.0000000014
  8.0000        0.2080295272        0.0000015399        0.2929403763        1.0000000014
  8.5000        0.2071556030        0.0000031553        0.2929403762        1.0000000014
  9.0000        0.2062733649        0.0000053139        0.2929403762        1.0000000013
  9.5000        0.2053828589        0.0000079797        0.2929403761        1.0000000012
 10.0000        0.2044841419        0.0000111067        0.2929403760        1.0000000011
 10.5000        0.2035772799        0.0000146400        0.2929403759        1.0000000009
 11.0000        0.2026623466        0.0000185174        0.2929403758        1.0000000008
 11.5000        0.2017394222        0.0000226707        0.2929403757        1.0000000007
 12.0000        0.2008085916        0.0000270275        0.2929403756        1.0000000006
 12.5000        0.1998699425        0.0000315130        0.2929403755        1.0000000005
 13.0000        0.1989235637        0.0000360518        0.2929403754        1.0000000004
 13.5000        0.1979695438        0.0000405693        0.2929403753        1.0000000003
 14.0000        0.1970079692        0.0000449937        0.2929403752        1.0000000002
 14.5000        0.1960389226        0.0000492572        0.2929403751        1.0000000002
 15.0000        0.1950624819        0.0000532974        0.2929403750        1.0000000002
 15.5000        0.1940787190        0.0000570588        0.2929403749        1.0000000002
 16.0000        0.1930876985        0.0000604932        0.2929403749        1.0000000002
 16.5000        0.1920894774        0.0000635608        0.2929403748        1.0000000003
 17.0000        0.1910841045        0.0000662307        0.2929403748        1.0000000003
 17.5000        0.1900716200        0.0000684808        0.2929403747        1.0000000004
 18.0000        0.1890520556        0.0000702983        0.2929403747        1.0000000005
 18.5000        0.1880254344        0.0000716792        0.2929403747        1.0000000006
 19.0000        0.1869917718        0.0000726281        0.2929403747        1.0000000007
 19.5000        0.1859510757        0.0000731574        0.2929403747        1.0000000008
 20.0000        0.1849033473        0.0000732867        0.2929403747        1.0000000009
 20.5000        0.1838485821        0.0000730421        0.2929403747        1.0000000010
 21.0000        0.1827867707        0.0000724547        0.2929403747        1.0000000011
 21.5000        0.1817178997        0.0000715602        0.2929403747        1.0000000011
 22.0000        0.1806419532        0.0000703977        0.2929403748        1.0000000012
 22.5000        0.1795589136        0.0000690083        0.2929403748        1.0000000012
 23.0000        0.1784687626        0.0000674344        0.2929403748        1.0000000012
 23.5000        0.1773714821        0.0000657185        0.2929403748        1.0000000013
 24.0000        0.1762670556        0.0000639026        0.2929403749        1.0000000012
 24.5000        0.1751554684        0.0000620272        0.2929403749        1.0000000012
 25.0000        0.1740367088        0.0000601304        0.2929403749        1.0000000012
 25.5000        0.1729107685        0.0000582480        0.2929403749        1.0000000011
 26.0000        0.1717776430        0.0000564124        0.2929403749        1.0000000011
 26.5000        0.1706920129        0.0000000228        0.2929403749        1.0000000010
 27.0000        0.1695423106        0.0000008253        0.2929403749        1.0000000009
 27.5000        0.1683843907        0.0000027843        0.2929403749        1.0000000009
 28.0000        0.1672239761        0.0000002173        0.2929403748        1.0000000008
 28.5000        0.1660526690        0.0000015538        0.2929403748        1.0000000007
 29.0000        0.1648731710        0.0000041156        0.2929403748        1.0000000007
 29.5000        0.1636855197        0.0000078963        0.2929403747        1.0000000006
 30.0000        0.1624897702        0.0000128730        0.2929403746        1.0000000005
 30.5000        0.1612859943        0.0000190075        0.2929403745        1.0000000005
 31.0000        0.1600742799        0.0000262468        0.2929403744        1.0000000004
 31.5000        0.1588547291        0.0000345249        0.2929403742        1.0000000004
 32.0000        0.1576274577        0.0000437637        0.2929403741        1.0000000004
 32.5000        0.1563925929        0.0000538752        0.2929403739        1.0000000004
 33.0000        0.1551502720        0.0000647630        0.2929403737        1.0000000004
 33.5000        0.1539006404        0.0000763241        0.2929403735        1.0000000004
 34.0000        0.1526438502        0.0000884510        0.2929403733        1.0000000004
 34.5000        0.1513800576        0.0001010333        0.2929403731        1.0000000004
 35.0000        0.1501094218        0.0001139601        0.2929403730        1.0000000005
