       t         state 0 pop         state 1 pop         state 2 pop         state 3 pop         state 4 pop         state 5 pop         state 6 pop         state 7 pop         state 8 pop              poptot
  0.0000        1.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        1.0000000000
  0.5000        0.9999513842        0.0000060836        0.0000060828        0.0000060821        0.0000060813        0.0000060731        0.0000060721        0.0000060710        0.0000060699        1.0000000001
  1.0000        0.9983081754        0.0003093961        0.0002887406        0.0002700866        0.0002531836        0.0001530504        0.0001457545        0.0001389682        0.0001326450        1.0000000003
  1.5000        0.9983078016        0.0003094446        0.0002887888        0.0002701345        0.0002532312        0.0001530961        0.0001458001        0.0001390135        0.0001326902        1.0000000006
  2.0000        0.9983058529        0.0003096981        0.0002890406        0.0002703846        0.0002534797        0.0001533338        0.0001460368        0.0001392494        0.0001329251        1.0000000010
  2.5000        0.9983010252        0.0003103291        0.0002896668        0.0002710064        0.0002540973        0.0001539208        0.0001466210        0.0001398309        0.0001335040        1.0000000015
  3.0000        0.9982920650        0.0003115082        0.0002908362        0.0002721665        0.0002552485        0.0001550055        0.0001476993        0.0001409029        0.0001345699        1.0000000020
  3.5000        0.9982778111        0.0003134007        0.0002927111        0.0002740246        0.0002570904        0.0001567210        0.0001494022        0.0001425934        0.0001362481        1.0000000025
  4.0000        0.9982572323        0.0003161633        0.0002954445        0.0002767299        0.0002597685        0.0001591796        0.0001518382        0.0001450071        0.0001386397        1.0000000030
  4.5000        0.9982294610        0.0003199407        0.0002991764        0.0002804175        0.0002634129        0.0001624680        0.0001550893        0.0001482210        0.0001418167        1.0000000034
  5.0000        0.9981938207        0.0003248629        0.0003040306        0.0002852052        0.0002681356        0.0001666435        0.0001592065        0.0001522804        0.0001458184        1.0000000038
  5.5000        0.9981498459        0.0003310424        0.0003101123        0.0002911909        0.0002740270        0.0001717315        0.0001642084        0.0001571965        0.0001506491        1.0000000040
  6.0000        0.9980972956        0.0003385719        0.0003175055        0.0002984501        0.0002811541        0.0001777242        0.0001700792        0.0001629458        0.0001562777        1.0000000041
  6.5000        0.9980361579        0.0003475227        0.0003262717        0.0003070343        0.0002895584        0.0001845805        0.0001767693        0.0001694708        0.0001626385        1.0000000041
  7.0000        0.9979666471        0.0003579429        0.0003364478        0.0003169694        0.0002992553        0.0001922275        0.0001841974        0.0001766820        0.0001696346        1.0000000039
  7.5000        0.9978891925        0.0003698568        0.0003480459        0.0003282556        0.0003102332        0.0002005630        0.0001922536        0.0001844618        0.0001771413        1.0000000037
  8.0000        0.9978044207        0.0003832642        0.0003610527        0.0003408670        0.0003224538        0.0002094598        0.0002008034        0.0001926696        0.0001850121        1.0000000033
  8.5000        0.9977131309        0.0003981404        0.0003754302        0.0003547523        0.0003358533        0.0002187700        0.0002096934        0.0002011472        0.0001930852        1.0000000029
  9.0000        0.9976162648        0.0004144370        0.0003911158        0.0003698357        0.0003503433        0.0002283312        0.0002187578        0.0002097262        0.0002011907        1.0000000024
  9.5000        0.9975148729        0.0004320825        0.0004080242        0.0003860190        0.0003658135        0.0002379724        0.0002278245        0.0002182348        0.0002091581        1.0000000020
 10.0000        0.9974100771        0.0004509840        0.0004260490        0.0004031834        0.0003821340        0.0002475210        0.0002367230        0.0002265057        0.0002168244        1.0000000015
 10.5000        0.9973030333        0.0004710291        0.0004450649        0.0004211921        0.0003991580        0.0002568093        0.0002452906        0.0002343826        0.0002240413        1.0000000011
